GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
316.0,,114.0,76.83,3.0,Fall 2018,ncsu,3
314.0,,110.0,9.14,2.0,Fall 2018,ncsu,3
328.0,,113.0,76.5,16.0,Fall 2018,ncsu,3
318.0,,102.0,7.65,29.0,Fall 2018,ncsu,3
320.0,,106.0,7.53,25.0,Fall 2018,ncsu,3
316.0,,104.0,8.01,0.0,Fall 2018,ncsu,3
328.0,,110.0,9.04,1.0,Fall 2018,ncsu,3
315.0,,103.0,8.67,19.0,Fall 2018,ncsu,3
319.0,,107.0,9.0,24.0,Fall 2020,ncsu,3
326.0,,120.0,70.0,1.0,Fall 2018,ncsu,3
312.0,7.0,,83.0,0.0,Fall 2018,ncsu,3
,,103.0,78.0,0.0,Fall 2018,ncsu,3
315.0,,98.0,8.15,26.0,Fall 2018,ncsu,3
309.0,,117.0,70.0,12.0,Fall 2018,ncsu,3
308.0,7.0,,9.2,0.0,Fall 2018,ncsu,3
322.0,,104.0,84.5,0.0,Fall 2018,ncsu,3
313.0,,110.0,7.86,29.0,Fall 2018,ncsu,3
310.0,,99.0,6.8,13.0,Fall 2018,ncsu,3
315.0,,102.0,8.2,16.0,Fall 2018,ncsu,3
317.0,,95.0,8.59,32.0,Fall 2018,ncsu,3
316.0,,112.0,80.3,11.0,Fall 2018,ncsu,3
304.0,,96.0,7.46,0.0,Fall 2018,ncsu,3
307.0,,99.0,7.92,26.0,Spring 2018,ncsu,3
,,90.0,71.0,0.0,Fall 2011,ncsu,3
309.0,,101.0,78.6,0.0,Fall 2012,ncsu,3
316.0,,101.0,8.2,0.0,Fall 2011,ncsu,3
319.0,,102.0,65.0,0.0,Fall 2011,ncsu,3
324.0,,111.0,65.0,0.0,Fall 2011,ncsu,3
312.0,,104.0,62.0,0.0,Fall 2011,ncsu,3
320.0,,108.0,78.5,18.0,Fall 2017,ncsu,3
314.0,,90.0,6.44,2.0,Fall 2017,ncsu,3
327.0,,117.0,9.36,18.0,Fall 2017,ncsu,3
329.0,,113.0,7.15,30.0,Fall 2017,ncsu,3
313.0,,96.0,56.0,6.0,Fall 2017,ncsu,3
326.0,,101.0,7.93,22.0,Fall 2017,ncsu,3
319.0,,101.0,66.0,19.0,Fall 2017,ncsu,3
319.0,,93.0,8.6,3.0,Fall 2017,ncsu,3
323.0,,114.0,7.02,27.0,Fall 2015,ncsu,3
315.0,,103.0,7.3,8.0,Fall 2017,ncsu,3
315.0,,99.0,8.15,7.0,Fall 2017,ncsu,3
314.0,,106.0,7.06,12.0,Fall 2017,ncsu,3
320.0,,109.0,69.73,31.0,Fall 2017,ncsu,3
311.0,,112.0,74.86,15.0,Spring 2018,ncsu,3
312.0,,107.0,8.98,36.0,Fall 2017,ncsu,3
319.0,,88.0,7.35,4.0,Fall 2017,ncsu,3
314.0,,96.0,8.87,19.0,Fall 2017,ncsu,3
319.0,,103.0,79.5,3.0,Fall 2017,ncsu,3
312.0,,107.0,77.65,20.0,Fall 2017,ncsu,3
320.0,,103.0,77.0,36.0,Fall 2017,ncsu,3
313.0,,91.0,72.0,10.0,Fall 2017,ncsu,3
327.0,,114.0,8.435,0.0,Spring 2017,ncsu,3
314.0,,103.0,8.97,0.0,Fall 2017,ncsu,3
320.0,,111.0,9.26,30.0,Fall 2017,ncsu,3
316.0,,105.0,70.0,21.0,Fall 2017,ncsu,3
312.0,,109.0,84.46,4.0,Fall 2017,ncsu,3
330.0,,111.0,72.0,8.0,Fall 2017,ncsu,3
317.0,,111.0,9.47,24.0,Fall 2017,ncsu,3
319.0,,108.0,74.3,51.0,Spring 2018,ncsu,3
313.0,,103.0,8.0,0.0,Fall 2017,ncsu,3
320.0,,109.0,81.0,8.0,Fall 2017,ncsu,3
316.0,,101.0,8.05,34.0,Fall 2017,ncsu,3
307.0,,100.0,83.0,36.0,Fall 2017,ncsu,3
308.0,,98.0,69.67,45.0,Fall 2017,ncsu,3
307.0,,97.0,76.19,17.0,Fall 2017,ncsu,3
311.0,,97.0,8.96,2.0,Fall 2017,ncsu,3
317.0,,109.0,8.92,18.0,Fall 2017,ncsu,3
307.0,,104.0,8.33,24.0,Fall 2017,ncsu,3
310.0,,101.0,8.32,77.0,Fall 2017,ncsu,3
319.0,,89.0,8.0,3.0,Fall 2017,ncsu,3
320.0,,108.0,7.77,20.0,Fall 2017,ncsu,3
314.0,,113.0,7.52,18.0,Fall 2017,ncsu,3
322.0,,106.0,67.0,3.0,Fall 2017,ncsu,3
317.0,,97.0,7.2,4.0,Spring 2018,ncsu,3
328.0,,104.0,6.79,45.0,Fall 2017,ncsu,3
321.0,,115.0,67.0,20.0,Fall 2017,ncsu,3
317.0,,115.0,8.88,2.0,Fall 2017,ncsu,3
323.0,,109.0,73.52,7.0,Fall 2017,ncsu,3
318.0,,108.0,8.16,30.0,Fall 2017,ncsu,3
310.0,,96.0,8.68,21.0,Fall 2017,ncsu,3
305.0,,102.0,8.37,0.0,Fall 2017,ncsu,3
311.0,,108.0,9.14,5.0,Fall 2017,ncsu,3
313.0,,113.0,8.66,24.0,Fall 2017,ncsu,3
326.0,,101.0,8.67,8.0,Fall 2017,ncsu,3
322.0,,109.0,8.974,22.0,Fall 2017,ncsu,3
318.0,,104.0,6.6,22.0,Fall 2017,ncsu,3
325.0,,100.0,7.57,18.0,Fall 2017,ncsu,3
329.0,,118.0,7.79,2.0,Fall 2017,ncsu,3
320.0,,109.0,7.85,40.0,Fall 2017,ncsu,3
321.0,,105.0,7.28,5.0,Fall 2017,ncsu,3
314.0,,112.0,9.47,17.0,Fall 2017,ncsu,3
323.0,,105.0,7.82,24.0,Fall 2017,ncsu,3
319.0,,111.0,7.79,10.0,Fall 2017,ncsu,3
317.0,,96.0,9.15,15.0,Fall 2017,ncsu,3
321.0,,117.0,8.22,19.0,Fall 2017,ncsu,3
313.0,7.5,,82.35,1.0,Fall 2017,ncsu,3
317.0,,107.0,82.1,0.0,Fall 2017,ncsu,3
307.0,,97.0,68.0,17.0,Fall 2017,ncsu,3
326.0,,113.0,83.0,30.0,Fall 2017,ncsu,3
319.0,,101.0,9.0,20.0,Fall 2017,ncsu,3
308.0,,103.0,9.07,2.0,Fall 2017,ncsu,3
313.0,,84.0,8.56,0.0,Fall 2017,ncsu,3
316.0,,107.0,6.2,18.0,Fall 2017,ncsu,3
307.0,,100.0,80.0,36.0,Fall 2017,ncsu,3
320.0,,115.0,8.7,0.0,Fall 2017,ncsu,3
318.0,,106.0,65.5,3.0,Fall 2017,ncsu,3
317.0,,105.0,7.64,1.0,Fall 2017,ncsu,3
310.0,,107.0,8.88,44.0,Fall 2017,ncsu,3
308.0,,96.0,7.99,0.0,Fall 2017,ncsu,3
319.0,,105.0,6.8,24.0,Fall 2018,ncsu,3
310.0,,92.0,78.0,34.0,Fall 2017,ncsu,3
313.0,,99.0,9.1,18.0,Fall 2017,ncsu,3
323.0,,103.0,7.5,17.0,Fall 2017,ncsu,3
313.0,,103.0,7.23,19.0,Fall 2017,ncsu,3
318.0,,92.0,67.0,30.0,Fall 2017,ncsu,3
320.0,,92.0,7.406,24.0,Fall 2017,ncsu,3
315.0,,113.0,76.1,0.0,Fall 2017,ncsu,3
316.0,,109.0,7.43,31.0,Fall 2017,ncsu,3
304.0,,104.0,66.77,19.0,Fall 2017,ncsu,3
324.0,,113.0,8.2,31.0,Fall 2017,ncsu,3
313.0,,116.0,65.88,9.0,Fall 2017,ncsu,3
322.0,,102.0,8.7,19.0,Fall 2017,ncsu,3
311.0,,110.0,89.15,0.0,Fall 2017,ncsu,3
329.0,,118.0,8.43,45.0,Fall 2017,ncsu,3
318.0,,106.0,6.48,50.0,Fall 2017,ncsu,3
330.0,,116.0,8.8,18.0,Fall 2017,ncsu,3
315.0,,104.0,7.81,15.0,Fall 2017,ncsu,3
312.0,,99.0,8.51,34.0,Fall 2017,ncsu,3
319.0,,114.0,8.19,45.0,Fall 2017,ncsu,3
315.0,,106.0,66.0,60.0,Fall 2017,ncsu,3
311.0,,92.0,75.0,18.0,Fall 2017,ncsu,3
326.0,,118.0,8.6,43.0,Fall 2017,ncsu,3
322.0,,108.0,6.71,24.0,Fall 2017,ncsu,3
313.0,,108.0,63.15,32.0,Fall 2017,ncsu,3
323.0,,104.0,70.0,15.0,Fall 2017,ncsu,3
321.0,,111.0,83.0,32.0,Fall 2017,ncsu,3
312.0,,101.0,80.27,22.0,Fall 2017,ncsu,3
312.0,,99.0,8.46,24.0,Fall 2017,ncsu,3
312.0,,110.0,8.5,2.0,Fall 2017,ncsu,3
323.0,,102.0,72.0,3.0,Fall 2017,ncsu,3
312.0,,107.0,8.86,18.0,Fall 2017,ncsu,3
306.0,,99.0,8.35,0.0,Fall 2017,ncsu,3
316.0,,103.0,8.1,2.0,Fall 2017,ncsu,3
311.0,,96.0,8.93,30.0,Fall 2017,ncsu,3
317.0,,97.0,9.4,58.0,Fall 2017,ncsu,3
320.0,,107.0,9.13,22.0,Fall 2017,ncsu,3
327.0,,106.0,8.33,0.0,Fall 2017,ncsu,3
320.0,,108.0,7.87,2.0,Fall 2017,ncsu,3
322.0,,107.0,8.15,36.0,Fall 2017,ncsu,3
322.0,,100.0,6.92,0.0,Fall 2017,ncsu,3
312.0,,96.0,7.85,31.0,Fall 2016,ncsu,3
317.0,,109.0,75.94,23.0,Spring 2018,ncsu,3
318.0,,110.0,72.5,0.0,Fall 2017,ncsu,3
306.0,,104.0,8.06,29.0,Fall 2017,ncsu,3
324.0,,112.0,7.4,39.0,Fall 2017,ncsu,3
320.0,,112.0,7.99,0.0,Fall 2017,ncsu,3
318.0,,106.0,7.63,20.0,Fall 2017,ncsu,3
309.0,,85.0,71.0,36.0,Fall 2017,ncsu,3
324.0,,107.0,8.18,7.0,Fall 2017,ncsu,3
326.0,,114.0,7.67,0.0,Fall 2017,ncsu,3
321.0,,100.0,71.57,12.0,Fall 2017,ncsu,3
318.0,,108.0,6.889,0.0,Fall 2017,ncsu,3
324.0,,110.0,7.25,0.0,Fall 2017,ncsu,3
320.0,,106.0,7.24,22.0,Fall 2017,ncsu,3
329.0,,117.0,8.68,2.0,Fall 2017,ncsu,3
318.0,,113.0,68.0,30.0,Fall 2017,ncsu,3
318.0,,108.0,7.5,36.0,Fall 2017,ncsu,3
320.0,,106.0,8.68,8.0,Fall 2017,ncsu,3
313.0,,98.0,77.0,153.0,Fall 2017,ncsu,3
329.0,,111.0,75.6,2.0,Fall 2017,ncsu,3
