GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
307.0,,111.0,74.88,40.0,Fall 2017,neu,2
313.0,,110.0,9.32,36.0,Fall 2017,neu,2
314.0,,105.0,8.48,36.0,Fall 2017,neu,2
317.0,,108.0,81.39,0.0,Fall 2017,neu,2
315.0,,102.0,9.01,32.0,Fall 2017,neu,2
317.0,,107.0,82.1,0.0,Fall 2017,neu,2
315.0,,105.0,62.0,25.0,Fall 2017,neu,2
315.0,,108.0,78.0,2.0,Fall 2017,neu,2
315.0,,100.0,86.0,60.0,Fall 2017,neu,2
325.0,,92.0,9.5,0.0,Fall 2016,neu,2
326.0,,112.0,71.0,23.0,Fall 2017,neu,2
317.0,,110.0,7.93,5.0,Fall 2017,neu,2
315.0,,104.0,67.0,12.0,Fall 2017,neu,2
319.0,,106.0,8.72,7.0,Fall 2017,neu,2
313.0,,108.0,69.0,17.0,Fall 2017,neu,2
315.0,,110.0,8.26,22.0,Fall 2017,neu,2
309.0,,103.0,76.0,67.0,Fall 2017,neu,2
320.0,,107.0,8.2,17.0,Fall 2017,neu,2
324.0,,110.0,8.4,2.0,Fall 2017,neu,2
323.0,,103.0,7.5,17.0,Fall 2017,neu,2
319.0,,107.0,8.7,13.0,Fall 2017,neu,2
310.0,,99.0,71.0,48.0,Fall 2018,neu,2
303.0,,109.0,80.0,0.0,Fall 2017,neu,2
309.0,,102.0,8.06,17.0,Fall 2017,neu,2
326.0,,118.0,8.6,43.0,Fall 2017,neu,2
321.0,,112.0,8.11,12.0,Fall 2017,neu,2
318.0,,101.0,7.2,4.0,Fall 2017,neu,2
310.0,,103.0,67.5,24.0,Fall 2017,neu,2
317.0,,102.0,8.58,26.0,Fall 2017,neu,2
307.0,,99.0,74.5,15.0,Fall 2017,neu,2
309.0,,104.0,72.8,32.0,Fall 2017,neu,2
320.0,,103.0,8.45,40.0,Fall 2017,neu,2
329.0,,117.0,8.68,2.0,Fall 2017,neu,2
313.0,,103.0,8.64,3.0,Fall 2017,neu,2
317.0,,107.0,7.034,20.0,Fall 2017,neu,2
317.0,,111.0,9.47,24.0,Fall 2017,neu,2
312.0,,109.0,73.0,36.0,Fall 2017,neu,2
318.0,,111.0,69.62,35.0,Fall 2017,neu,2
326.0,,114.0,72.0,42.0,Fall 2017,neu,2
321.0,,117.0,8.7,0.0,Fall 2017,neu,2
