GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
322.0,,108.0,8.03,0.0,Fall 2020,usc,3
320.0,,111.0,7.02,12.0,Fall 2020,usc,3
326.0,,107.0,7.98,44.0,Fall 2020,usc,3
316.0,,104.0,7.36,6.0,Fall 2020,usc,3
327.0,,107.0,8.37,5.0,Fall 2019,usc,3
320.0,,114.0,69.0,66.0,Spring 2020,usc,3
317.0,,112.0,8.9,16.0,Spring 2020,usc,3
305.0,,104.0,68.7,25.0,Spring 2020,usc,3
320.0,,108.0,7.84,25.0,Spring 2020,usc,3
314.0,7.0,,8.37,16.0,Fall 2018,usc,3
303.0,7.0,,59.68,23.0,Fall 2020,usc,3
314.0,,104.0,8.1,12.0,Spring 2020,usc,3
318.0,7.0,,77.0,41.0,Spring 2020,usc,3
325.0,,115.0,7.3,30.0,Spring 2020,usc,3
319.0,,101.0,7.75,36.0,Spring 2020,usc,3
315.0,,109.0,7.72,9.0,Spring 2020,usc,3
308.0,,92.0,8.75,42.0,Spring 2020,usc,3
305.0,96.0,,7.91,9.0,Spring 2020,usc,3
310.0,,95.0,81.73,36.0,Spring 2020,usc,3
309.0,,94.0,8.45,32.0,Spring 2020,usc,3
310.0,8.0,,73.0,71.0,Spring 2020,usc,3
318.0,,103.0,8.2,24.0,Spring 2020,usc,3
315.0,,105.0,8.11,30.0,Spring 2020,usc,3
305.0,,102.0,8.76,15.0,Fall 2019,usc,3
325.0,,110.0,7.5,1.0,Fall 2018,usc,3
323.0,,104.0,8.5,0.0,Fall 2019,usc,3
315.0,,102.0,8.4,30.0,Fall 2019,usc,3
315.0,7.0,,80.0,36.0,Fall 2019,usc,3
317.0,,106.0,8.84,5.0,Fall 2019,usc,3
306.0,,94.0,8.94,28.0,Fall 2019,usc,3
327.0,,102.0,72.0,14.0,Fall 2018,usc,3
315.0,,106.0,8.87,38.0,Spring 2020,usc,3
319.0,,105.0,8.4,22.0,Fall 2019,usc,3
318.0,,108.0,8.77,26.0,Fall 2019,usc,3
316.0,,108.0,8.68,11.0,Fall 2019,usc,3
321.0,,111.0,8.25,20.0,Fall 2019,usc,3
309.0,,104.0,7.9,19.0,Fall 2019,usc,3
320.0,,105.0,8.8,30.0,Fall 2019,usc,3
316.0,,102.0,8.76,13.0,Fall 2019,usc,3
320.0,,108.0,8.23,48.0,Fall 2019,usc,3
323.0,,112.0,8.24,25.0,Fall 2019,usc,3
317.0,,99.0,8.72,8.0,Fall 2019,usc,3
327.0,,110.0,8.55,32.0,Fall 2019,usc,3
314.0,7.5,,8.75,17.0,Fall 2019,usc,3
325.0,,113.0,8.61,17.0,Fall 2019,usc,3
329.0,,114.0,8.13,3.0,Fall 2019,usc,3
313.0,,0.0,7.93,0.0,Fall 2019,usc,3
317.0,,109.0,75.0,41.0,Fall 2019,usc,3
318.0,,110.0,8.33,0.0,Fall 2019,usc,3
325.0,,112.0,84.0,36.0,Fall 2019,usc,3
317.0,,104.0,8.66,24.0,Fall 2019,usc,3
316.0,,103.0,8.6,6.0,Fall 2019,usc,3
324.0,,87.0,8.55,4.0,Fall 2019,usc,3
324.0,,109.0,8.16,29.0,Fall 2019,usc,3
315.0,,104.0,8.08,27.0,Fall 2019,usc,3
317.0,,101.0,8.65,57.0,Fall 2019,usc,3
321.0,,99.0,68.0,0.0,Fall 2019,usc,3
320.0,,111.0,8.2,6.0,Fall 2020,usc,3
310.0,,94.0,8.61,29.0,Fall 2019,usc,3
321.0,,112.0,8.39,5.0,Fall 2019,usc,3
319.0,,116.0,8.76,25.0,Fall 2019,usc,3
306.0,,93.0,8.81,0.0,Fall 2019,usc,3
326.0,,111.0,8.5,0.0,Fall 2019,usc,3
317.0,,100.0,8.17,0.0,Fall 2019,usc,3
322.0,,101.0,8.3,14.0,Fall 2019,usc,3
324.0,,112.0,7.2,8.0,Fall 2019,usc,3
314.0,,105.0,8.72,19.0,Fall 2019,usc,3
324.0,,107.0,8.17,20.0,Fall 2019,usc,3
320.0,,109.0,78.0,0.0,Fall 2019,usc,3
326.0,,111.0,8.37,6.0,Fall 2019,usc,3
