GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
314.0,,106.0,72.0,0.0,Fall 2012,utd,2
315.0,,100.0,62.61,0.0,Fall 2011,utd,2
311.0,,98.0,63.0,0.0,Fall 2012,utd,2
302.0,,109.0,78.0,0.0,Fall 2012,utd,2
313.0,,89.0,62.4,0.0,Fall 2013,utd,2
310.0,,95.0,82.7,0.0,Fall 2012,utd,2
312.0,,104.0,62.0,0.0,Fall 2011,utd,2
310.0,,95.0,8.12,4.0,Fall 2017,utd,2
310.0,,100.0,8.0,0.0,Fall 2017,utd,2
312.0,,106.0,8.6,47.0,Fall 2017,utd,2
309.0,,94.0,8.74,0.0,Fall 2017,utd,2
316.0,,99.0,7.57,16.0,Fall 2017,utd,2
315.0,,105.0,8.53,6.0,Fall 2017,utd,2
321.0,,116.0,8.858,1.0,Fall 2017,utd,2
308.0,,92.0,8.19,50.0,Fall 2017,utd,2
321.0,,112.0,68.0,18.0,Fall 2017,utd,2
308.0,,82.0,9.1,0.0,Fall 2017,utd,2
314.0,,111.0,9.07,47.0,Fall 2017,utd,2
324.0,,99.0,7.1,18.0,Fall 2017,utd,2
310.0,,103.0,78.0,0.0,Fall 2017,utd,2
307.0,,94.0,75.0,36.0,Fall 2017,utd,2
310.0,,102.0,8.3,0.0,Fall 2017,utd,2
312.0,7.0,,80.0,18.0,Fall 2017,utd,2
311.0,8.0,,8.05,0.0,Fall 2017,utd,2
311.0,,95.0,8.6,30.0,Fall 2017,utd,2
320.0,,103.0,8.71,24.0,Fall 2017,utd,2
312.0,,90.0,8.5,30.0,Fall 2017,utd,2
323.0,,107.0,9.0,30.0,Fall 2017,utd,2
322.0,,114.0,8.2,0.0,Fall 2017,utd,2
311.0,,100.0,3.5,41.0,Fall 2017,utd,2
302.0,,93.0,8.95,0.0,Fall 2017,utd,2
315.0,,109.0,89.0,0.0,Fall 2017,utd,2
319.0,,115.0,79.0,24.0,Fall 2017,utd,2
319.0,,89.0,8.0,3.0,Fall 2017,utd,2
307.0,7.0,,9.673,0.0,Fall 2017,utd,2
316.0,,114.0,8.31,24.0,Fall 2017,utd,2
311.0,,91.0,8.22,2.0,Fall 2017,utd,2
331.0,,112.0,8.26,3.0,Fall 2017,utd,2
311.0,,97.0,8.72,15.0,Fall 2017,utd,2
316.0,,116.0,8.95,28.0,Fall 2017,utd,2
314.0,,103.0,7.97,10.0,Fall 2017,utd,2
316.0,,101.0,9.15,0.0,Fall 2017,utd,2
320.0,,103.0,7.65,32.0,Fall 2017,utd,2
310.0,,94.0,81.0,37.0,Fall 2017,utd,2
319.0,,105.0,7.6,0.0,Fall 2017,utd,2
316.0,,106.0,8.51,7.0,Fall 2017,utd,2
320.0,,106.0,8.88,40.0,Fall 2017,utd,2
305.0,,98.0,9.2,31.0,Fall 2017,utd,2
310.0,,98.0,7.3,28.0,Fall 2017,utd,2
315.0,,102.0,9.1,6.0,Fall 2017,utd,2
313.0,7.5,,82.35,1.0,Fall 2017,utd,2
322.0,,100.0,9.1,2.0,Fall 2017,utd,2
306.0,,101.0,81.71,0.0,Fall 2017,utd,2
311.0,,108.0,9.3,1.0,Fall 2016,utd,2
306.0,,99.0,8.35,0.0,Fall 2017,utd,2
316.0,,100.0,8.02,34.0,Fall 2017,utd,2
316.0,,110.0,81.4,8.0,Fall 2017,utd,2
310.0,,105.0,7.01,24.0,Fall 2017,utd,2
318.0,,111.0,3.62,2.0,Fall 2017,utd,2
315.0,,93.0,78.14,39.0,Fall 2017,utd,2
320.0,,112.0,73.0,18.0,Fall 2017,utd,2
317.0,,107.0,78.0,0.0,Fall 2017,utd,2
311.0,,112.0,74.86,15.0,Spring 2018,utd,2
322.0,,102.0,8.7,19.0,Fall 2017,utd,2
317.0,,111.0,78.0,17.0,Fall 2017,utd,2
313.0,,97.0,9.58,21.0,Fall 2017,utd,2
312.0,,97.0,76.6,40.0,Fall 2017,utd,2
311.0,,94.0,8.41,15.0,Fall 2017,utd,2
320.0,,106.0,8.0,0.0,Fall 2017,utd,2
311.0,,103.0,90.23,18.0,Fall 2017,utd,2
318.0,,87.0,85.5,53.0,Fall 2020,utd,2
317.0,,90.0,7.08,20.0,Fall 2017,utd,2
312.0,,99.0,8.91,0.0,Fall 2017,utd,2
311.0,,94.0,8.2,20.0,Fall 2017,utd,2
315.0,,101.0,82.0,0.0,Fall 2017,utd,2
316.0,,107.0,8.21,40.0,Fall 2017,utd,2
307.0,,0.0,8.33,15.0,Fall 2017,utd,2
310.0,,99.0,7.16,33.0,Fall 2017,utd,2
309.0,,101.0,8.892,24.0,Fall 2016,utd,2
312.0,,109.0,8.66,63.0,Fall 2017,utd,2
310.0,,95.0,9.17,18.0,Fall 2017,utd,2
314.0,,95.0,8.4,84.0,Fall 2017,utd,2
308.0,,97.0,8.4,1.0,Fall 2017,utd,2
308.0,,93.0,8.56,0.0,Fall 2017,utd,2
312.0,,103.0,82.0,22.0,Fall 2017,utd,2
316.0,,89.0,74.95,19.0,Fall 2017,utd,2
315.0,,109.0,8.62,24.0,Fall 2017,utd,2
333.0,,113.0,8.71,5.0,Fall 2017,utd,2
310.0,,95.0,8.71,56.0,Fall 2017,utd,2
319.0,,98.0,6.71,20.0,Fall 2017,utd,2
318.0,,108.0,8.4,1.0,Fall 2017,utd,2
316.0,,101.0,8.05,34.0,Fall 2017,utd,2
311.0,,103.0,8.13,10.0,Fall 2017,utd,2
307.0,7.0,,71.5,34.0,Fall 2017,utd,2
317.0,,111.0,78.0,17.0,Fall 2017,utd,2
312.0,,99.0,8.51,34.0,Fall 2017,utd,2
309.0,,102.0,8.0,0.0,Spring 2018,utd,2
311.0,7.5,,8.53,11.0,Fall 2017,utd,2
318.0,,107.0,7.66,25.0,Fall 2017,utd,2
322.0,,107.0,88.0,0.0,Fall 2017,utd,2
