GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
312.0,,112.0,66.0,0.0,Fall 2015,neu,3
311.0,,106.0,8.34,1.0,Fall 2016,neu,3
321.0,,108.0,67.1,10.0,Fall 2015,neu,3
313.0,,106.0,64.61,0.0,Fall 2013,neu,3
312.0,,99.0,63.31,20.0,Fall 2016,neu,3
320.0,,110.0,70.0,30.0,Fall 2015,neu,3
323.0,,103.0,61.42,20.0,Fall 2015,neu,3
311.0,,105.0,68.0,0.0,Fall 2016,neu,3
305.0,,99.0,65.0,30.0,Fall 2016,neu,3
316.0,,102.0,71.0,30.0,Fall 2014,neu,3
308.0,,93.0,69.2,30.0,Fall 2015,neu,3
313.0,,100.0,9.4,15.0,Fall 2016,neu,3
306.0,,91.0,9.12,20.0,Spring 2016,neu,3
305.0,,100.0,6.0,0.0,Spring 2016,neu,3
312.0,,103.0,71.15,0.0,Fall 2016,neu,3
320.0,,107.0,6.8,10.0,Fall 2015,neu,3
313.0,,103.0,64.2,0.0,Spring 2016,neu,3
324.0,,112.0,62.0,30.0,Spring 2016,neu,3
313.0,,108.0,65.0,0.0,Fall 2016,neu,3
306.0,,96.0,7.98,0.0,Fall 2016,neu,3
310.0,,100.0,62.56,20.0,Fall 2015,neu,3
312.0,,92.0,8.15,0.0,Fall 2016,neu,3
307.0,,102.0,72.0,0.0,Fall 2014,neu,3
306.0,,104.0,7.56,22.0,Fall 2016,neu,3
318.0,,117.0,68.7,30.0,Fall 2016,neu,3
310.0,,93.0,8.1,10.0,Fall 2015,neu,3
319.0,,106.0,63.86,30.0,Fall 2016,neu,3
313.0,,96.0,77.11,0.0,Fall 2015,neu,3
320.0,,106.0,70.64,0.0,Fall 2016,neu,3
308.0,,85.0,8.0,30.0,Fall 2016,neu,3
312.0,,90.0,9.86,10.0,Fall 2015,neu,3
303.0,,108.0,72.0,30.0,Fall 2015,neu,3
302.0,,95.0,71.0,30.0,Fall 2016,neu,3
307.0,,97.0,61.07,10.0,Fall 2015,neu,3
316.0,,102.0,63.0,20.0,Fall 2015,neu,3
306.0,,97.0,62.42,10.0,Fall 2016,neu,3
308.0,,93.0,8.97,5.0,Fall 2016,neu,3
