GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
331.0,,109.0,65.0,6.0,Fall 2019,ncsu,3
317.0,,105.0,7.92,12.0,Fall 2019,ncsu,3
313.0,,98.0,8.76,44.0,Fall 2019,ncsu,3
322.0,,114.0,7.98,7.0,Fall 2019,ncsu,3
311.0,,96.0,7.7,24.0,Fall 2019,ncsu,3
320.0,8.0,,73.0,12.0,Fall 2019,ncsu,3
314.0,,103.0,9.09,24.0,Fall 2019,ncsu,3
321.0,,101.0,7.83,15.0,Fall 2019,ncsu,3
319.0,,112.0,8.34,13.0,Fall 2019,ncsu,3
310.0,,105.0,8.98,10.0,Fall 2019,ncsu,3
323.0,,112.0,7.86,6.0,Fall 2019,ncsu,3
307.0,,109.0,8.9,24.0,Fall 2019,ncsu,3
321.0,,108.0,7.5,16.0,Fall 2019,ncsu,3
299.0,7.5,,78.3,1.0,Fall 2019,ncsu,3
326.0,,110.0,6.7,40.0,Fall 2019,ncsu,3
312.0,,104.0,7.98,0.0,Fall 2019,ncsu,3
329.0,,111.0,9.02,17.0,Fall 2019,ncsu,3
319.0,,110.0,80.0,14.0,Fall 2019,ncsu,3
314.0,,102.0,8.3,10.0,Fall 2019,ncsu,3
307.0,,0.0,8.5,18.0,Fall 2019,ncsu,3
318.0,,102.0,73.4,26.0,Fall 2019,ncsu,3
323.0,,110.0,8.84,34.0,Fall 2019,ncsu,3
324.0,,107.0,7.1,13.0,Fall 2019,ncsu,3
320.0,,102.0,8.55,22.0,Fall 2019,ncsu,3
315.0,,97.0,8.35,31.0,Fall 2019,ncsu,3
313.0,,100.0,68.16,17.0,Fall 2019,ncsu,3
325.0,,110.0,7.65,36.0,Fall 2019,ncsu,3
320.0,,101.0,7.32,48.0,Fall 2019,ncsu,3
312.0,,109.0,7.69,60.0,Fall 2020,ncsu,3
307.0,,91.0,7.73,32.0,Fall 2019,ncsu,3
318.0,,100.0,6.8,30.0,Fall 2019,ncsu,3
310.0,,100.0,8.4,48.0,Fall 2019,ncsu,3
315.0,,106.0,8.4,3.0,Fall 2019,ncsu,3
313.0,,94.0,8.82,41.0,Fall 2019,ncsu,3
321.0,,106.0,7.91,39.0,Fall 2019,ncsu,3
317.0,,100.0,8.5,12.0,Fall 2019,ncsu,3
310.0,7.5,,7.31,5.0,Fall 2019,ncsu,3
308.0,6.5,,8.33,14.0,Fall 2018,ncsu,3
325.0,,112.0,9.0,5.0,Fall 2019,ncsu,3
314.0,,102.0,8.65,16.0,Fall 2019,ncsu,3
311.0,,102.0,8.9,37.0,Fall 2019,ncsu,3
321.0,7.5,,7.27,20.0,Fall 2019,ncsu,3
307.0,,91.0,84.0,18.0,Fall 2019,ncsu,3
312.0,,98.0,69.45,33.0,Fall 2019,ncsu,3
316.0,8.0,,8.52,1.0,Fall 2019,ncsu,3
318.0,,100.0,6.9,28.0,Fall 2019,ncsu,3
328.0,,106.0,7.11,30.0,Fall 2019,ncsu,3
314.0,,109.0,8.16,13.0,Fall 2019,ncsu,3
322.0,,100.0,7.65,18.0,Fall 2019,ncsu,3
322.0,,109.0,7.49,20.0,Fall 2019,ncsu,3
320.0,,103.0,7.42,28.0,Fall 2019,ncsu,3
312.0,,96.0,6.53,18.0,Fall 2019,ncsu,3
322.0,,109.0,9.07,3.0,Fall 2019,ncsu,3
305.0,,0.0,8.21,13.0,Fall 2019,ncsu,3
318.0,,107.0,8.4,11.0,Fall 2019,ncsu,3
323.0,,105.0,7.13,52.0,Fall 2019,ncsu,3
324.0,,108.0,8.22,30.0,Fall 2019,ncsu,3
316.0,,106.0,7.67,28.0,Fall 2019,ncsu,3
306.0,,93.0,8.81,0.0,Fall 2019,ncsu,3
313.0,,103.0,7.34,60.0,Fall 2019,ncsu,3
312.0,,102.0,9.12,3.0,Fall 2019,ncsu,3
324.0,,105.0,75.94,0.0,Fall 2019,ncsu,3
308.0,,102.0,0.0,12.0,Fall 2019,ncsu,3
310.0,,105.0,7.57,0.0,Fall 2019,ncsu,3
312.0,,98.0,74.0,22.0,Fall 2019,ncsu,3
322.0,8.0,,7.9,2.0,Fall 2019,ncsu,3
316.0,,113.0,7.84,2.0,Fall 2019,ncsu,3
312.0,,107.0,6.47,12.0,Fall 2019,ncsu,3
315.0,,97.0,8.82,24.0,Fall 2019,ncsu,3
312.0,,106.0,8.7,32.0,Fall 2019,ncsu,3
313.0,,95.0,8.0,0.0,Fall 2019,ncsu,3
327.0,,108.0,8.7,28.0,Fall 2019,ncsu,3
320.0,,105.0,6.6,0.0,Fall 2019,ncsu,3
323.0,,110.0,7.995,60.0,Fall 2019,ncsu,3
331.0,,114.0,6.81,8.0,Fall 2019,ncsu,3
329.0,,110.0,7.83,3.0,Fall 2018,ncsu,3
314.0,,104.0,80.0,29.0,Fall 2019,ncsu,3
329.0,,106.0,7.7,33.0,Fall 2019,ncsu,3
316.0,,99.0,7.79,12.0,Fall 2019,ncsu,3
310.0,7.5,,8.7,4.0,Fall 2019,ncsu,3
322.0,,103.0,8.4,2.0,Fall 2019,ncsu,3
312.0,,118.0,8.6,20.0,Fall 2019,ncsu,3
310.0,,101.0,70.0,27.0,Fall 2019,ncsu,3
312.0,,91.0,7.83,21.0,Fall 2020,ncsu,3
320.0,,108.0,8.23,48.0,Fall 2019,ncsu,3
317.0,,105.0,8.48,30.0,Fall 2019,ncsu,3
323.0,,113.0,8.1,0.0,Fall 2019,ncsu,3
311.0,,89.0,8.7,15.0,Fall 2019,ncsu,3
314.0,,99.0,8.41,0.0,Fall 2019,ncsu,3
320.0,,106.0,7.46,32.0,Fall 2019,ncsu,3
320.0,,113.0,73.94,82.0,Fall 2019,ncsu,3
320.0,,107.0,7.7,22.0,Fall 2019,ncsu,3
313.0,7.5,,9.78,0.0,Fall 2019,ncsu,3
314.0,,105.0,8.72,19.0,Fall 2019,ncsu,3
318.0,,103.0,7.45,20.0,Fall 2019,ncsu,3
312.0,,102.0,9.72,44.0,Fall 2019,ncsu,3
318.0,,109.0,6.9,36.0,Fall 2019,ncsu,3
320.0,,118.0,8.79,15.0,Fall 2019,ncsu,3
324.0,,112.0,8.6,39.0,Fall 2019,ncsu,3
317.0,,109.0,8.85,47.0,Fall 2019,ncsu,3
323.0,,110.0,77.8,0.0,Fall 2019,ncsu,3
323.0,,116.0,8.79,25.0,Fall 2019,ncsu,3
316.0,,100.0,73.3,40.0,Fall 2019,ncsu,3
314.0,,102.0,8.78,38.0,Fall 2019,ncsu,3
306.0,,91.0,7.574,38.0,Fall 2019,ncsu,3
318.0,,104.0,8.4,34.0,Fall 2019,ncsu,3
320.0,,98.0,7.5,0.0,Fall 2019,ncsu,3
314.0,7.0,,8.18,27.0,Fall 2019,ncsu,3
320.0,,99.0,8.28,18.0,Fall 2019,ncsu,3
314.0,7.0,,9.16,0.0,Fall 2019,ncsu,3
317.0,8.0,,85.0,2.0,Fall 2019,ncsu,3
310.0,,99.0,8.5,0.0,Fall 2019,ncsu,3
331.0,,115.0,67.07,46.0,Fall 2019,ncsu,3
321.0,,109.0,7.9,44.0,Fall 2019,ncsu,3
308.0,,84.0,8.2,27.0,Fall 2019,ncsu,3
306.0,,92.0,69.73,0.0,Fall 2019,ncsu,3
315.0,7.5,,8.99,2.0,Fall 2019,ncsu,3
312.0,,100.0,76.0,21.0,Fall 2019,ncsu,3
308.0,,96.0,8.79,24.0,Fall 2019,ncsu,3
322.0,,105.0,8.31,22.0,Fall 2019,ncsu,3
316.0,,107.0,7.97,4.0,Fall 2019,ncsu,3
316.0,,111.0,71.0,32.0,Fall 2019,ncsu,3
