GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
308.0,,95.0,6.0,0.0,Fall 2016,utd,3
314.0,,101.0,6.55,0.0,Fall 2016,utd,3
302.0,,101.0,64.0,18.0,Fall 2016,utd,3
301.0,,103.0,67.0,8.0,Fall 2016,utd,3
300.0,,102.0,9.13,9.0,Fall 2016,utd,3
316.0,,87.0,5.97,8.0,Fall 2016,utd,3
316.0,,102.0,7.35,60.0,Fall 2016,utd,3
318.0,,113.0,7.88,10.0,Fall 2016,utd,3
298.0,6.5,,8.15,11.0,Fall 2016,utd,3
304.0,,83.0,63.42,19.0,Fall 2016,utd,3
307.0,,95.0,66.0,0.0,Fall 2016,utd,3
319.0,,116.0,8.3,0.0,Fall 2016,utd,3
310.0,,100.0,59.0,0.0,Fall 2016,utd,3
314.0,,106.0,7.76,30.0,Fall 2016,utd,3
303.0,,81.0,8.05,30.0,Fall 2016,utd,3
315.0,,106.0,7.75,22.0,Fall 2016,utd,3
314.0,,100.0,73.0,30.0,Fall 2016,utd,3
306.0,,95.0,70.0,19.0,Fall 2016,utd,3
306.0,,96.0,8.4,6.0,Fall 2016,utd,3
299.0,,89.0,76.0,30.0,Fall 2016,utd,3
313.0,,101.0,71.22,50.0,Fall 2016,utd,3
312.0,,94.0,65.0,0.0,Fall 2016,utd,3
302.0,7.0,,72.0,10.0,Fall 2016,utd,3
304.0,,92.0,65.0,6.0,Fall 2016,utd,3
303.0,,106.0,62.0,40.0,Fall 2016,utd,3
315.0,,100.0,67.5,19.0,Fall 2016,utd,3
317.0,,107.0,74.4,16.0,Fall 2016,utd,3
312.0,,89.0,72.0,0.0,Fall 2016,utd,3
316.0,,94.0,7.23,49.0,Fall 2016,utd,3
314.0,,107.0,5.76,30.0,Fall 2016,utd,3
318.0,,104.0,66.0,30.0,Fall 2016,utd,3
313.0,,106.0,65.0,6.0,Fall 2016,utd,3
316.0,,106.0,65.2,24.0,Fall 2016,utd,3
