GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
306.0,,91.0,8.28,0.0,Fall 2017,utd,3
306.0,,82.0,6.9,31.0,Fall 2017,utd,3
310.0,,100.0,68.9,17.0,Fall 2017,utd,3
307.0,,95.0,76.4,18.0,Fall 2017,utd,3
305.0,,114.0,9.4,12.0,Fall 2017,utd,3
318.0,,103.0,67.7,36.0,Fall 2017,utd,3
310.0,,92.0,78.0,34.0,Fall 2017,utd,3
327.0,,115.0,7.6,12.0,Fall 2017,utd,3
308.0,,89.0,74.7,42.0,Fall 2017,utd,3
307.0,,104.0,8.33,24.0,Fall 2017,utd,3
311.0,,93.0,8.12,36.0,Fall 2017,utd,3
318.0,,104.0,6.6,22.0,Fall 2017,utd,3
310.0,,91.0,60.0,4.0,Fall 2017,utd,3
318.0,,100.0,61.0,39.0,Fall 2017,utd,3
308.0,,101.0,66.0,24.0,Fall 2017,utd,3
310.0,,107.0,8.3,13.0,Fall 2017,utd,3
300.0,,92.0,7.66,2.0,Fall 2017,utd,3
302.0,,87.0,7.04,36.0,Fall 2017,utd,3
305.0,,93.0,62.0,78.0,Fall 2017,utd,3
301.0,,87.0,79.25,19.0,Fall 2017,utd,3
314.0,,106.0,7.06,12.0,Fall 2017,utd,3
319.0,,93.0,68.0,8.0,Fall 2017,utd,3
304.0,,102.0,75.0,36.0,Fall 2017,utd,3
302.0,,81.0,64.0,19.0,Fall 2017,utd,3
314.0,,95.0,59.4,33.0,Fall 2017,utd,3
294.0,7.0,,7.45,0.0,Fall 2017,utd,3
322.0,,109.0,7.72,1.0,Fall 2017,utd,3
309.0,,95.0,75.0,24.0,Fall 2017,utd,3
319.0,,117.0,68.23,32.0,Fall 2017,utd,3
317.0,,102.0,57.0,14.0,Fall 2017,utd,3
312.0,,86.0,70.0,12.0,Fall 2017,utd,3
314.0,,107.0,7.83,42.0,Fall 2017,utd,3
309.0,,96.0,7.93,18.0,Fall 2017,utd,3
313.0,,116.0,65.88,9.0,Fall 2017,utd,3
314.0,,103.0,8.79,2.0,Fall 2016,utd,3
322.0,,111.0,78.4,6.0,Fall 2017,utd,3
321.0,,105.0,7.28,5.0,Fall 2017,utd,3
313.0,,107.0,66.0,0.0,Fall 2017,utd,3
307.0,,96.0,73.0,0.0,Fall 2017,utd,3
313.0,,109.0,58.0,24.0,Fall 2017,utd,3
301.0,,86.0,58.0,30.0,Fall 2017,utd,3
310.0,,95.0,74.66,45.0,Fall 2017,utd,3
308.0,6.5,,8.67,31.0,Fall 2017,utd,3
306.0,,99.0,65.27,18.0,Fall 2017,utd,3
318.0,,109.0,61.0,55.0,Fall 2017,utd,3
331.0,,114.0,6.87,19.0,Fall 2017,utd,3
309.0,,97.0,66.0,30.0,Fall 2017,utd,3
321.0,,111.0,71.41,22.0,Fall 2017,utd,3
312.0,,100.0,8.0,15.0,Fall 2017,utd,3
314.0,,85.0,63.4,36.0,Fall 2017,utd,3
306.0,,105.0,6.4,0.0,Fall 2017,utd,3
309.0,,98.0,8.17,30.0,Fall 2017,utd,3
317.0,,109.0,6.68,33.0,Fall 2017,utd,3
322.0,,112.0,8.14,0.0,Fall 2017,utd,3
316.0,,104.0,65.0,24.0,Fall 2017,utd,3
308.0,,102.0,76.0,28.0,Fall 2017,utd,3
317.0,,104.0,60.44,17.0,Fall 2017,utd,3
316.0,,94.0,77.6,0.0,Fall 2017,utd,3
319.0,,99.0,6.24,19.0,Fall 2017,utd,3
312.0,,105.0,7.39,2.0,Fall 2017,utd,3
310.0,,108.0,63.0,15.0,Fall 2017,utd,3
308.0,,101.0,8.11,24.0,Fall 2017,utd,3
316.0,,97.0,7.3,9.0,Fall 2017,utd,3
312.0,,85.0,6.75,6.0,Fall 2017,utd,3
318.0,,104.0,7.61,77.0,Fall 2017,utd,3
310.0,,102.0,7.27,2.0,Fall 2017,utd,3
301.0,,100.0,8.55,9.0,Fall 2017,utd,3
309.0,,101.0,7.62,2.0,Fall 2017,utd,3
308.0,,98.0,7.6,7.0,Fall 2017,utd,3
307.0,,98.0,59.0,44.0,Fall 2018,utd,3
311.0,,100.0,79.0,30.0,Fall 2018,utd,3
312.0,,91.0,7.89,19.0,Fall 2017,utd,3
309.0,,85.0,71.0,36.0,Fall 2017,utd,3
307.0,,94.0,8.09,0.0,Fall 2017,utd,3
301.0,,86.0,8.51,0.0,Fall 2017,utd,3
302.0,,96.0,8.8,30.0,Fall 2017,utd,3
300.0,,91.0,8.08,26.0,Fall 2017,utd,3
309.0,,96.0,70.0,26.0,Fall 2017,utd,3
314.0,7.5,,7.12,23.0,Fall 2017,utd,3
318.0,6.5,,77.0,0.0,Fall 2018,utd,3
313.0,,113.0,8.0,24.0,Fall 2017,utd,3
308.0,,96.0,71.0,10.0,Fall 2017,utd,3
318.0,,107.0,64.27,23.0,Fall 2017,utd,3
312.0,,100.0,68.0,48.0,Fall 2016,utd,3
305.0,,97.0,8.673,3.0,Fall 2017,utd,3
306.0,,88.0,80.25,0.0,Fall 2017,utd,3
315.0,,112.0,7.4,10.0,Fall 2017,utd,3
314.0,,106.0,7.06,12.0,Fall 2017,utd,3
314.0,,107.0,62.22,15.0,Fall 2017,utd,3
303.0,,109.0,80.0,0.0,Fall 2017,utd,3
319.0,,0.0,74.0,0.0,Fall 2017,utd,3
312.0,,103.0,73.6,0.0,Fall 2017,utd,3
311.0,,103.0,7.75,6.0,Fall 2017,utd,3
312.0,,98.0,61.13,19.0,Fall 2017,utd,3
305.0,,101.0,82.0,6.0,Fall 2017,utd,3
318.0,,106.0,57.5,18.0,Fall 2017,utd,3
307.0,,105.0,71.0,18.0,Fall 2017,utd,3
304.0,,104.0,7.6,18.0,Fall 2017,utd,3
304.0,,94.0,66.0,4.0,Fall 2017,utd,3
305.0,,91.0,7.97,18.0,Fall 2017,utd,3
304.0,7.0,,72.2,15.0,Fall 2017,utd,3
306.0,,104.0,7.37,6.0,Fall 2017,utd,3
307.0,,107.0,7.21,0.0,Spring 2017,utd,3
307.0,,93.0,6.35,16.0,Fall 2017,utd,3
299.0,,99.0,6.8,15.0,Fall 2017,utd,3
317.0,,110.0,7.93,5.0,Fall 2017,utd,3
308.0,8.0,,63.7,12.0,Fall 2017,utd,3
311.0,,113.0,7.77,0.0,Fall 2017,utd,3
316.0,,100.0,65.28,7.0,Fall 2017,utd,3
304.0,,90.0,8.95,0.0,Fall 2017,utd,3
307.0,,84.0,74.04,18.0,Fall 2017,utd,3
309.0,,96.0,65.0,18.0,Spring 2017,utd,3
312.0,7.0,,69.4,0.0,Spring 2017,utd,3
304.0,,95.0,75.5,48.0,Spring 2017,utd,3
309.0,7.5,,8.17,11.0,Fall 2016,utd,3
313.0,,103.0,69.3,53.0,Spring 2017,utd,3
290.0,,84.0,74.0,48.0,Spring 2017,utd,3
316.0,,101.0,7.7,30.0,Spring 2017,utd,3
312.0,,109.0,73.0,36.0,Fall 2017,utd,3
307.0,,91.0,6.25,12.0,Spring 2017,utd,3
329.0,,112.0,59.2,36.0,Spring 2017,utd,3
311.0,,91.0,73.0,16.0,Fall 2017,utd,3
310.0,,106.0,7.6,60.0,Spring 2017,utd,3
311.0,,105.0,68.68,38.0,Spring 2017,utd,3
302.0,7.0,,61.36,0.0,Spring 2017,utd,3
303.0,,91.0,8.63,18.0,Spring 2017,utd,3
306.0,,97.0,7.44,0.0,Spring 2017,utd,3
307.0,7.0,,75.0,26.0,Spring 2017,utd,3
310.0,,96.0,78.0,3.0,Spring 2017,utd,3
334.0,,115.0,6.99,60.0,Spring 2017,utd,3
303.0,,111.0,56.0,0.0,Spring 2017,utd,3
313.0,,103.0,57.5,12.0,Spring 2017,utd,3
308.0,,104.0,8.0,20.0,Spring 2017,utd,3
302.0,,100.0,7.2,16.0,Spring 2017,utd,3
314.0,,92.0,73.0,24.0,Spring 2017,utd,3
311.0,,108.0,7.4,16.0,Spring 2017,utd,3
301.0,,109.0,7.2,6.0,Spring 2017,utd,3
323.0,,114.0,6.88,8.0,Spring 2017,utd,3
314.0,,98.0,7.74,28.0,Spring 2017,utd,3
304.0,,110.0,7.51,26.0,Spring 2017,utd,3
311.0,,106.0,61.0,30.0,Fall 2017,utd,3
305.0,,89.0,70.2,49.0,Spring 2017,utd,3
310.0,,104.0,69.72,35.0,Spring 2017,utd,3
308.0,,95.0,65.77,24.0,Spring 2017,utd,3
304.0,,88.0,76.2,42.0,Spring 2017,utd,3
310.0,,95.0,62.5,36.0,Fall 2016,utd,3
306.0,,90.0,7.55,30.0,Fall 2016,utd,3
313.0,,99.0,75.0,11.0,Spring 2017,utd,3
311.0,,92.0,7.48,24.0,Spring 2017,utd,3
300.0,7.0,,76.6,18.0,Fall 2016,utd,3
305.0,,85.0,59.04,0.0,Fall 2016,utd,3
312.0,,110.0,58.0,12.0,Fall 2016,utd,3
304.0,,93.0,7.45,0.0,Fall 2016,utd,3
303.0,,82.0,74.1,45.0,Fall 2016,utd,3
311.0,,112.0,64.0,12.0,Fall 2016,utd,3
301.0,,88.0,7.3,0.0,Fall 2016,utd,3
304.0,,97.0,80.0,20.0,Fall 2016,utd,3
310.0,,96.0,78.0,60.0,Fall 2016,utd,3
307.0,,97.0,7.5,0.0,Fall 2016,utd,3
300.0,,105.0,78.0,42.0,Fall 2016,utd,3
318.0,,100.0,7.76,3.0,Fall 2016,utd,3
306.0,,89.0,62.95,36.0,Fall 2016,utd,3
318.0,,108.0,65.0,2.0,Fall 2016,utd,3
313.0,,109.0,68.0,30.0,Fall 2016,utd,3
310.0,,108.0,59.0,32.0,Fall 2016,utd,3
313.0,,105.0,7.83,45.0,Fall 2016,utd,3
310.0,7.0,,56.42,0.0,Spring 2017,utd,3
302.0,,85.0,7.34,18.0,Fall 2016,utd,3
328.0,7.5,,7.5,12.0,Spring 2017,utd,3
317.0,,105.0,62.0,40.0,Fall 2016,utd,3
309.0,,103.0,65.8,30.0,Fall 2016,utd,3
304.0,,83.0,8.71,10.0,Fall 2016,utd,3
312.0,,107.0,68.0,50.0,Fall 2016,utd,3
309.0,,100.0,54.0,50.0,Fall 2016,utd,3
315.0,,105.0,73.0,0.0,Fall 2016,utd,3
303.0,,95.0,78.0,24.0,Fall 2016,utd,3
320.0,,110.0,71.0,24.0,Fall 2016,utd,3
300.0,,98.0,74.0,6.0,Fall 2016,utd,3
303.0,,88.0,78.5,33.0,Fall 2016,utd,3
307.0,,99.0,7.49,0.0,Fall 2016,utd,3
306.0,,102.0,7.3,0.0,Fall 2016,utd,3
309.0,,100.0,68.0,30.0,Fall 2016,utd,3
315.0,,111.0,70.0,10.0,Fall 2016,utd,3
315.0,,106.0,7.97,4.0,Fall 2016,utd,3
302.0,,97.0,71.0,20.0,Fall 2016,utd,3
311.0,,115.0,64.0,30.0,Fall 2016,utd,3
306.0,,111.0,73.0,15.0,Fall 2016,utd,3
315.0,,97.0,7.96,3.0,Fall 2016,utd,3
311.0,,103.0,70.0,60.0,Fall 2016,utd,3
296.0,6.5,,8.23,30.0,Fall 2016,utd,3
307.0,,96.0,66.0,0.0,Fall 2016,utd,3
312.0,6.0,,74.0,0.0,Fall 2016,utd,3
302.0,,86.0,82.0,0.0,Fall 2016,utd,3
300.0,,88.0,79.0,24.0,Fall 2017,utd,3
304.0,,85.0,63.0,29.0,Fall 2016,utd,3
