GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
311.0,,101.0,85.307,19.0,Fall 2019,utd,2
317.0,,103.0,7.98,2.0,Fall 2019,utd,2
316.0,,97.0,8.461,28.0,Fall 2019,utd,2
316.0,,112.0,8.08,27.0,Fall 2019,utd,2
309.0,,97.0,75.06,31.0,Fall 2019,utd,2
323.0,,113.0,8.1,0.0,Fall 2019,utd,2
323.0,,104.0,7.72,3.0,Fall 2019,utd,2
312.0,,96.0,76.9,0.0,Fall 2019,utd,2
313.0,,95.0,8.0,0.0,Fall 2019,utd,2
313.0,,104.0,7.5,15.0,Fall 2019,utd,2
320.0,8.0,,8.9,1.0,Fall 2019,utd,2
309.0,7.0,,9.5,0.0,Fall 2019,utd,2
332.0,,115.0,9.82,0.0,Fall 2019,utd,2
316.0,8.0,,8.15,8.0,Fall 2019,utd,2
311.0,,102.0,8.52,28.0,Fall 2019,utd,2
309.0,,98.0,7.38,40.0,Fall 2019,utd,2
311.0,,96.0,8.99,48.0,Fall 2019,utd,2
310.0,,96.0,8.88,55.0,Fall 2019,utd,2
308.0,6.5,,71.36,0.0,Fall 2019,utd,2
308.0,,100.0,8.51,8.0,Fall 2019,utd,2
316.0,,0.0,7.81,16.0,Fall 2019,utd,2
310.0,,97.0,73.08,2.0,Fall 2019,utd,2
312.0,,91.0,7.83,21.0,Fall 2020,utd,2
318.0,,96.0,8.08,16.0,Fall 2019,utd,2
316.0,,101.0,8.38,0.0,Fall 2019,utd,2
312.0,,108.0,7.77,39.0,Fall 2020,utd,2
312.0,,102.0,9.05,51.0,Fall 2019,utd,2
322.0,8.0,,83.5,0.0,Spring 2019,utd,2
312.0,,91.0,8.18,0.0,Fall 2019,utd,2
318.0,,103.0,8.52,27.0,Fall 2019,utd,2
326.0,,110.0,8.15,23.0,Fall 2019,utd,2
317.0,,103.0,8.53,10.0,Fall 2019,utd,2
305.0,,97.0,8.76,0.0,Fall 2019,utd,2
305.0,,97.0,8.85,0.0,Fall 2019,utd,2
315.0,,108.0,7.8,1.0,Fall 2019,utd,2
305.0,,95.0,85.0,27.0,Fall 2019,utd,2
314.0,7.5,,9.0,3.0,Fall 2019,utd,2
310.0,7.5,,8.7,4.0,Fall 2019,utd,2
316.0,,93.0,8.46,44.0,Fall 2019,utd,2
309.0,,101.0,7.48,4.0,Fall 2019,utd,2
310.0,,92.0,7.78,30.0,Fall 2019,utd,2
313.0,,104.0,7.77,42.0,Fall 2019,utd,2
312.0,,100.0,8.62,14.0,Fall 2019,utd,2
316.0,,103.0,9.13,4.0,Fall 2019,utd,2
316.0,,107.0,8.93,0.0,Fall 2019,utd,2
322.0,,103.0,8.4,2.0,Fall 2019,utd,2
312.0,,108.0,8.32,2.0,Fall 2019,utd,2
326.0,,105.0,8.58,0.0,Fall 2019,utd,2
315.0,,114.0,9.5,1.0,Fall 2019,utd,2
311.0,7.0,,8.4,17.0,Fall 2019,utd,2
314.0,8.0,,8.89,0.0,Fall 2019,utd,2
314.0,,106.0,9.63,3.0,Fall 2019,utd,2
318.0,,104.0,8.53,0.0,Fall 2019,utd,2
322.0,,118.0,9.3,1.0,Fall 2019,utd,2
320.0,7.5,,8.3,8.0,Spring 2018,utd,2
322.0,,109.0,9.44,21.0,Fall 2019,utd,2
328.0,,116.0,9.09,0.0,Fall 2019,utd,2
305.0,,95.0,9.29,10.0,Spring 2019,utd,2
307.0,,102.0,87.75,4.0,Fall 2019,utd,2
317.0,,100.0,8.81,1.0,Fall 2019,utd,2
311.0,,99.0,8.64,21.0,Fall 2019,utd,2
319.0,,100.0,73.3,30.0,Fall 2019,utd,2
315.0,,113.0,9.12,6.0,Fall 2019,utd,2
315.0,7.0,,9.0,0.0,Fall 2019,utd,2
326.0,,100.0,7.1,0.0,Fall 2019,utd,2
