GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
320.0,,108.0,73.76,7.0,Fall 2018,utd,2
311.0,,101.0,8.023,10.0,Fall 2018,utd,2
320.0,7.0,,76.3,29.0,Fall 2018,utd,2
321.0,,110.0,9.17,6.0,Fall 2018,utd,2
314.0,,103.0,7.12,18.0,Fall 2018,utd,2
310.0,,90.0,8.67,0.0,Fall 2018,utd,2
308.0,,101.0,80.0,13.0,Fall 2018,utd,2
313.0,,109.0,76.8,24.0,Fall 2018,utd,2
312.0,,93.0,8.28,55.0,Fall 2018,utd,2
312.0,,90.0,8.26,41.0,Fall 2018,utd,2
314.0,,105.0,8.27,1.0,Fall 2018,utd,2
313.0,,101.0,74.11,7.0,Fall 2018,utd,2
317.0,,110.0,7.72,3.0,Fall 2018,utd,2
318.0,0.0,,78.9,13.0,Spring 2019,utd,2
322.0,7.0,,82.0,6.0,Fall 2018,utd,2
315.0,,107.0,86.28,29.0,Fall 2018,utd,2
310.0,,113.0,96.0,27.0,Fall 2019,utd,2
325.0,,115.0,8.28,33.0,Fall 2018,utd,2
317.0,7.5,,8.89,0.0,Fall 2018,utd,2
307.0,7.5,,8.7,11.0,Fall 2018,utd,2
310.0,,106.0,75.6,42.0,Fall 2018,utd,2
317.0,,108.0,8.4,29.0,Fall 2018,utd,2
311.0,,111.0,9.01,43.0,Fall 2018,utd,2
318.0,,108.0,8.53,0.0,Fall 2019,utd,2
324.0,,0.0,7.98,2.0,Fall 2018,utd,2
312.0,,86.0,80.01,38.0,Fall 2018,utd,2
325.0,,114.0,7.72,25.0,Fall 2018,utd,2
313.0,,103.0,85.96,48.0,Fall 2018,utd,2
320.0,,118.0,7.46,14.0,Fall 2018,utd,2
326.0,,0.0,8.5,12.0,Fall 2018,utd,2
314.0,,91.0,7.04,15.0,Fall 2018,utd,2
307.0,,112.0,8.83,36.0,Fall 2018,utd,2
320.0,,0.0,71.0,51.0,Fall 2018,utd,2
310.0,,98.0,8.36,0.0,Fall 2018,utd,2
316.0,,115.0,75.77,4.0,Fall 2018,utd,2
315.0,,96.0,7.51,26.0,Fall 2018,utd,2
310.0,,95.0,7.97,2.0,Fall 2018,utd,2
311.0,,114.0,9.03,5.0,Fall 2018,utd,2
323.0,,102.0,9.0,4.0,Fall 2018,utd,2
309.0,7.0,,8.66,5.0,Fall 2018,utd,2
319.0,,97.0,8.24,18.0,Fall 2018,utd,2
314.0,7.0,,8.36,5.0,Fall 2018,utd,2
319.0,,112.0,72.0,5.0,Fall 2018,utd,2
309.0,,98.0,8.48,41.0,Fall 2018,utd,2
315.0,,111.0,8.3,21.0,Fall 2018,utd,2
313.0,7.5,,8.74,13.0,Fall 2018,utd,2
321.0,,106.0,8.5,0.0,Fall 2018,utd,2
311.0,,104.0,8.1,23.0,Fall 2018,utd,2
313.0,,104.0,78.76,0.0,Fall 2018,utd,2
308.0,7.0,,77.0,0.0,Fall 2018,utd,2
309.0,,99.0,8.0,42.0,Fall 2018,utd,2
314.0,,102.0,75.5,24.0,Fall 2018,utd,2
310.0,,106.0,8.6,7.0,Fall 2018,utd,2
317.0,,106.0,7.45,26.0,Fall 2018,utd,2
319.0,,104.0,7.7,0.0,Fall 2018,utd,2
316.0,,88.0,9.17,0.0,Fall 2018,utd,2
295.0,7.0,,86.0,8.0,Fall 2020,utd,2
307.0,,110.0,9.0,37.0,Fall 2018,utd,2
310.0,,103.0,8.54,36.0,Fall 2018,utd,2
321.0,,113.0,9.4,2.0,Fall 2018,utd,2
316.0,,0.0,8.94,0.0,Fall 2018,utd,2
309.0,6.5,,9.11,24.0,Fall 2018,utd,2
309.0,,108.0,82.1,26.0,Fall 2018,utd,2
318.0,,0.0,8.16,16.0,Fall 2018,utd,2
316.0,,116.0,8.7,15.0,Fall 2018,utd,2
313.0,,109.0,9.41,2.0,Fall 2018,utd,2
311.0,,90.0,8.5,0.0,Fall 2018,utd,2
313.0,8.0,,73.78,41.0,Fall 2018,utd,2
307.0,,95.0,80.0,60.0,Fall 2018,utd,2
316.0,,111.0,9.63,0.0,Fall 2018,utd,2
314.0,,113.0,8.56,17.0,Fall 2018,utd,2
305.0,,89.0,8.69,28.0,Fall 2018,utd,2
308.0,6.5,,8.07,29.0,Fall 2018,utd,2
314.0,,91.0,8.05,28.0,Fall 2018,utd,2
309.0,,101.0,8.18,9.0,Fall 2018,utd,2
313.0,,105.0,8.07,17.0,Fall 2018,utd,2
322.0,8.0,,8.44,6.0,Fall 2018,utd,2
319.0,,104.0,71.0,22.0,Fall 2018,utd,2
318.0,,109.0,7.18,41.0,Fall 2018,utd,2
324.0,,115.0,8.48,60.0,Fall 2018,utd,2
319.0,,115.0,3.57,0.0,Spring 2019,utd,2
,,112.0,8.33,20.0,Fall 2018,utd,2
314.0,,104.0,8.81,24.0,Fall 2018,utd,2
332.0,,110.0,72.0,0.0,Fall 2018,utd,2
334.0,,0.0,8.2,8.0,Fall 2018,utd,2
311.0,,90.0,8.75,0.0,Fall 2018,utd,2
313.0,,98.0,9.04,6.0,Fall 2018,utd,2
313.0,7.0,,7.46,15.0,Fall 2018,utd,2
308.0,,103.0,8.24,48.0,Fall 2018,utd,2
310.0,0.0,,8.64,4.0,Fall 2017,utd,2
312.0,,102.0,7.99,18.0,Fall 2018,utd,2
303.0,7.0,,9.5,33.0,Fall 2018,utd,2
316.0,,98.0,7.01,30.0,Fall 2018,utd,2
308.0,,107.0,8.65,18.0,Fall 2018,utd,2
316.0,,117.0,9.1,4.0,Fall 2018,utd,2
312.0,,98.0,8.11,0.0,Fall 2018,utd,2
308.0,,0.0,8.42,0.0,Fall 2018,utd,2
305.0,,94.0,9.55,0.0,Fall 2018,utd,2
319.0,,118.0,9.3,3.0,Fall 2018,utd,2
310.0,,101.0,8.16,0.0,Fall 2018,utd,2
317.0,,110.0,8.9,21.0,Fall 2018,utd,2
310.0,,111.0,8.68,0.0,Fall 2018,utd,2
316.0,,113.0,7.93,26.0,Fall 2018,utd,2
310.0,,99.0,71.0,6.0,Fall 2018,utd,2
316.0,,106.0,9.09,0.0,Fall 2018,utd,2
311.0,,108.0,81.0,24.0,Fall 2018,utd,2
309.0,,88.0,8.23,0.0,Fall 2018,utd,2
317.0,,97.0,8.1,11.0,Fall 2018,utd,2
311.0,,96.0,7.83,11.0,Fall 2017,utd,2
311.0,,110.0,85.57,20.0,Fall 2018,utd,2
308.0,,107.0,73.2,18.0,Fall 2018,utd,2
322.0,,0.0,79.6,21.0,Fall 2018,utd,2
320.0,,0.0,7.48,27.0,Fall 2018,utd,2
