GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
319.0,,107.0,8.31,0.0,Fall 2019,utd,2
327.0,,111.0,8.66,22.0,Fall 2019,utd,2
324.0,,113.0,8.49,0.0,Fall 2019,utd,2
315.0,,104.0,9.5,37.0,Fall 2019,utd,2
333.0,,110.0,8.65,36.0,Spring 2019,utd,2
313.0,,103.0,8.46,0.0,Fall 2019,utd,2
320.0,,113.0,9.42,0.0,Fall 2019,utd,2
310.0,7.0,,8.91,16.0,Fall 2019,utd,2
314.0,,93.0,7.47,18.0,Fall 2019,utd,2
317.0,7.5,,8.08,6.0,Fall 2019,utd,2
312.0,,105.0,8.7,45.0,Fall 2019,utd,2
317.0,,114.0,8.8,4.0,Fall 2019,utd,2
317.0,7.0,,8.7,32.0,Fall 2019,utd,2
311.0,,87.0,8.4,0.0,Fall 2019,utd,2
316.0,7.5,,8.5,10.0,Fall 2019,utd,2
310.0,,89.0,71.16,26.0,Fall 2019,utd,2
312.0,,102.0,86.0,17.0,Fall 2019,utd,2
317.0,,96.0,74.0,32.0,Fall 2019,utd,2
313.0,7.0,,80.0,3.0,Fall 2019,utd,2
312.0,,107.0,8.65,16.0,Fall 2019,utd,2
319.0,,104.0,7.83,34.0,Fall 2019,utd,2
308.0,,96.0,8.85,18.0,Fall 2019,utd,2
307.0,,91.0,8.76,17.0,Fall 2019,utd,2
323.0,,110.0,8.2,26.0,Fall 2019,utd,2
317.0,,110.0,9.68,16.0,Fall 2019,utd,2
312.0,7.0,,72.0,13.0,Fall 2019,utd,2
305.0,89.0,,9.37,14.0,Fall 2020,utd,2
312.0,,88.0,8.23,35.0,Fall 2019,utd,2
311.0,,105.0,3.13,0.0,Fall 2019,utd,2
321.0,,107.0,8.43,14.0,Fall 2019,utd,2
312.0,7.0,,80.0,30.0,Fall 2019,utd,2
315.0,7.0,,8.58,0.0,Fall 2019,utd,2
309.0,,97.0,7.7,44.0,Fall 2019,utd,2
316.0,,108.0,8.89,0.0,Fall 2019,utd,2
317.0,,105.0,8.9,41.0,Fall 2019,utd,2
308.0,,95.0,8.41,14.0,Fall 2017,utd,2
306.0,,111.0,8.88,0.0,Spring 2020,utd,2
308.0,8.0,,8.83,1.0,Fall 2019,utd,2
315.0,,100.0,78.34,28.0,Fall 2019,utd,2
312.0,,86.0,8.07,3.0,Fall 2019,utd,2
308.0,,97.0,77.13,4.0,Fall 2019,utd,2
309.0,,94.0,9.56,35.0,Fall 2019,utd,2
316.0,8.0,,79.38,0.0,Fall 2019,utd,2
317.0,,101.0,8.65,57.0,Fall 2019,utd,2
310.0,8.0,,8.84,0.0,Fall 2019,utd,2
321.0,7.0,,9.08,0.0,Fall 2019,utd,2
315.0,,109.0,0.0,34.0,Fall 2019,utd,2
320.0,,103.0,7.5,12.0,Fall 2019,utd,2
325.0,,111.0,8.72,2.0,Fall 2019,utd,2
305.0,6.5,,71.98,37.0,Fall 2019,utd,2
320.0,,110.0,8.0,0.0,Fall 2019,utd,2
320.0,,110.0,8.0,0.0,Fall 2019,utd,2
314.0,,103.0,8.16,24.0,Fall 2019,utd,2
333.0,,116.0,7.62,18.0,Fall 2019,utd,2
310.0,,107.0,7.47,24.0,Fall 2018,utd,2
311.0,,96.0,9.12,2.0,Fall 2019,utd,2
321.0,,106.0,8.65,16.0,Fall 2019,utd,2
312.0,7.5,,8.39,0.0,Fall 2019,utd,2
313.0,,106.0,8.83,0.0,Fall 2019,utd,2
312.0,,102.0,8.18,27.0,Fall 2019,utd,2
316.0,,106.0,8.12,34.0,Spring 2020,utd,2
309.0,,111.0,87.2,0.0,Spring 2020,utd,2
314.0,7.5,,87.0,12.0,Fall 2019,utd,2
312.0,,104.0,8.91,54.0,Fall 2019,utd,2
319.0,,104.0,9.14,15.0,Fall 2019,utd,2
323.0,,116.0,8.59,20.0,Fall 2019,utd,2
311.0,,107.0,8.68,8.0,Fall 2019,utd,2
320.0,,107.0,70.0,0.0,Fall 2019,utd,2
318.0,,111.0,8.93,30.0,Fall 2019,utd,2
313.0,,96.0,8.51,3.0,Fall 2019,utd,2
315.0,7.0,,8.706,15.0,Fall 2019,utd,2
315.0,,105.0,9.1,8.0,Fall 2019,utd,2
307.0,,119.0,84.19,82.0,Fall 2019,utd,2
320.0,,100.0,75.0,12.0,Fall 2019,utd,2
327.0,,110.0,6.8,64.0,Fall 2019,utd,2
312.0,,101.0,8.4,4.0,Fall 2018,utd,2
315.0,,105.0,8.83,12.0,Fall 2018,utd,2
309.0,,104.0,9.14,33.0,Fall 2019,utd,2
310.0,,107.0,9.27,20.0,Fall 2019,utd,2
314.0,,108.0,8.82,0.0,Fall 2019,utd,2
316.0,,110.0,8.73,28.0,Fall 2019,utd,2
308.0,8.0,,90.0,9.0,Fall 2020,utd,2
318.0,,107.0,8.89,0.0,Fall 2019,utd,2
316.0,,108.0,8.08,30.0,Fall 2019,utd,2
315.0,,102.0,8.43,27.0,Fall 2019,utd,2
321.0,,101.0,8.81,0.0,Fall 2019,utd,2
321.0,,112.0,8.55,4.0,Fall 2019,utd,2
315.0,,106.0,9.46,4.0,Fall 2019,utd,2
314.0,,109.0,8.46,17.0,Fall 2019,utd,2
322.0,,113.0,9.41,16.0,Fall 2019,utd,2
311.0,7.0,,77.0,0.0,Fall 2019,utd,2
308.0,7.0,,80.0,19.0,Fall 2019,utd,2
312.0,,103.0,8.49,60.0,Spring 2019,utd,2
306.0,,94.0,8.94,28.0,Fall 2019,utd,2
317.0,,109.0,80.3,24.0,Fall 2019,utd,2
310.0,,111.0,9.65,17.0,Fall 2019,utd,2
311.0,,97.0,8.42,21.0,Fall 2019,utd,2
317.0,,104.0,8.21,2.0,Fall 2019,utd,2
317.0,,112.0,8.5,11.0,Fall 2019,utd,2
310.0,,96.0,8.5,4.0,Fall 2019,utd,2
311.0,7.0,,7.65,0.0,Fall 2019,utd,2
316.0,,108.0,9.6,0.0,Fall 2019,utd,2
317.0,,107.0,9.1,41.0,Fall 2019,utd,2
322.0,,109.0,8.2,-1.0,Fall 2019,utd,2
315.0,,103.0,9.04,1.0,Fall 2018,utd,2
322.0,,107.0,8.71,26.0,Fall 2019,utd,2
316.0,,103.0,8.62,19.0,Fall 2019,utd,2
327.0,,115.0,7.55,18.0,Fall 2018,utd,2
321.0,,111.0,8.1,9.0,Fall 2019,utd,2
324.0,,115.0,9.08,2.0,Fall 2019,utd,2
311.0,,92.0,9.2,0.0,Fall 2019,utd,2
310.0,,102.0,9.144,20.0,Fall 2019,utd,2
321.0,,105.0,9.22,31.0,Fall 2020,utd,2
310.0,,102.0,9.1,21.0,Fall 2019,utd,2
310.0,,104.0,9.0,0.0,Fall 2019,utd,2
309.0,,102.0,82.0,33.0,Fall 2018,utd,2
309.0,,107.0,84.55,20.0,Fall 2019,utd,2
313.0,,102.0,6.59,30.0,Fall 2019,utd,2
316.0,,93.0,8.89,45.0,Fall 2019,utd,2
310.0,6.5,,8.18,0.0,Fall 2019,utd,2
315.0,,98.0,9.4,6.0,Fall 2019,utd,2
322.0,,112.0,8.15,4.0,Fall 2019,utd,2
312.0,7.5,,9.04,0.0,Fall 2019,utd,2
318.0,8.0,,8.05,21.0,Fall 2019,utd,2
324.0,,115.0,8.32,19.0,Fall 2019,utd,2
315.0,,92.0,9.21,7.0,Fall 2019,utd,2
313.0,,109.0,8.37,68.0,Fall 2019,utd,2
310.0,,103.0,83.4,18.0,Fall 2019,utd,2
308.0,,93.0,9.38,0.0,Fall 2019,utd,2
325.0,,111.0,8.3,18.0,Fall 2019,utd,2
311.0,8.0,,8.2,0.0,Fall 2019,utd,2
312.0,,104.0,8.11,0.0,Fall 2019,utd,2
310.0,,112.0,9.03,3.0,Fall 2019,utd,2
327.0,7.5,,8.07,0.0,Fall 2019,utd,2
315.0,,100.0,7.5,0.0,Fall 2019,utd,2
312.0,,103.0,7.9,4.0,Fall 2019,utd,2
322.0,,105.0,8.05,19.0,Fall 2019,utd,2
303.0,7.0,,9.04,3.0,Fall 2019,utd,2
315.0,,109.0,8.2,1.0,Fall 2019,utd,2
313.0,,92.0,8.31,1.0,Fall 2019,utd,2
324.0,,107.0,8.17,20.0,Fall 2019,utd,2
316.0,,100.0,8.64,0.0,Fall 2019,utd,2
311.0,,105.0,7.83,0.0,Fall 2019,utd,2
315.0,,111.0,8.34,5.0,Fall 2019,utd,2
314.0,8.0,,8.1,2.0,Fall 2019,utd,2
320.0,,99.0,8.71,37.0,Fall 2019,utd,2
309.0,,94.0,85.0,0.0,Fall 2019,utd,2
324.0,,104.0,77.76,43.0,Spring 2019,utd,2
320.0,8.0,,7.98,0.0,Fall 2019,utd,2
316.0,,108.0,8.68,11.0,Fall 2019,utd,2
313.0,7.5,,8.72,19.0,Fall 2019,utd,2
