GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
330.0,,115.0,9.7,0.0,Fall 2017,usc,2
322.0,,104.0,9.01,17.0,Fall 2017,usc,2
315.0,,117.0,9.69,15.0,Fall 2018,usc,2
326.0,,110.0,8.12,28.0,Fall 2017,usc,2
307.0,,99.0,7.92,26.0,Spring 2018,usc,2
320.0,,110.0,9.03,33.0,Fall 2017,usc,2
305.0,,90.0,9.17,21.0,Fall 2017,usc,2
310.0,,98.0,85.0,1.0,Fall 2017,usc,2
323.0,,112.0,9.2,0.0,Fall 2017,usc,2
325.0,,116.0,84.7,2.0,Fall 2017,usc,2
315.0,,97.0,9.26,21.0,Fall 2016,usc,2
318.0,,111.0,81.78,4.0,Fall 2017,usc,2
308.0,,97.0,76.98,0.0,Fall 2017,usc,2
314.0,,108.0,80.0,8.0,Fall 2017,usc,2
321.0,,105.0,8.67,7.0,Spring 2018,usc,2
320.0,,108.0,8.8,18.0,Fall 2017,usc,2
315.0,,100.0,83.0,0.0,Fall 2017,usc,2
319.0,,111.0,9.3,24.0,Fall 2017,usc,2
324.0,,108.0,8.13,38.0,Fall 2017,usc,2
310.0,,98.0,9.21,15.0,Fall 2017,usc,2
300.0,,96.0,8.94,69.0,Fall 2018,usc,2
301.0,,89.0,75.0,32.0,Fall 2017,usc,2
314.0,,112.0,9.47,17.0,Fall 2017,usc,2
327.0,,111.0,9.25,18.0,Spring 2017,usc,2
313.0,,96.0,8.98,24.0,Fall 2017,usc,2
319.0,,117.0,76.62,30.0,Fall 2017,usc,2
305.0,,97.0,79.0,29.0,Fall 2017,usc,2
317.0,,109.0,75.94,23.0,Spring 2018,usc,2
306.0,,89.0,9.0,21.0,Fall 2017,usc,2
320.0,,115.0,8.7,0.0,Fall 2017,usc,2
306.0,,93.0,84.0,37.0,Fall 2017,usc,2
323.0,,107.0,8.33,22.0,Spring 2018,usc,2
310.0,,103.0,8.9,18.0,Fall 2017,usc,2
313.0,,112.0,80.0,0.0,Fall 2017,usc,2
310.0,,99.0,84.0,0.0,Fall 2017,usc,2
311.0,,108.0,9.3,1.0,Fall 2016,usc,2
323.0,,114.0,8.4,24.0,Fall 2017,usc,2
328.0,,113.0,9.03,3.0,Fall 2017,usc,2
325.0,,114.0,8.7,25.0,Fall 2017,usc,2
329.0,,97.0,9.4,2.0,Fall 2017,usc,2
320.0,,110.0,9.5,24.0,Fall 2017,usc,2
319.0,,115.0,8.84,0.0,Fall 2017,usc,2
312.0,,108.0,8.99,0.0,Fall 2017,usc,2
