GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
311.0,,80.0,9.08,0.0,Fall 2017,utd,2
319.0,,115.0,8.84,0.0,Fall 2017,utd,2
315.0,,106.0,8.4,50.0,Fall 2017,utd,2
307.0,,105.0,8.81,2.0,Fall 2017,utd,2
309.0,,91.0,78.43,1.0,Fall 2017,utd,2
315.0,,104.0,8.54,2.0,Fall 2017,utd,2
309.0,,97.0,8.38,29.0,Fall 2016,utd,2
314.0,,107.0,8.1,24.0,Fall 2017,utd,2
310.0,,101.0,8.32,77.0,Fall 2017,utd,2
312.0,,108.0,8.99,0.0,Fall 2017,utd,2
309.0,,112.0,8.54,25.0,Fall 2017,utd,2
311.0,,92.0,66.0,18.0,Fall 2017,utd,2
308.0,,92.0,74.5,30.0,Fall 2017,utd,2
329.0,,111.0,9.14,4.0,Fall 2017,utd,2
326.0,,117.0,72.0,0.0,Fall 2017,utd,2
316.0,,83.0,8.3,21.0,Fall 2017,utd,2
316.0,,104.0,8.7,15.0,Fall 2017,utd,2
312.0,,110.0,8.37,24.0,Fall 2017,utd,2
309.0,,103.0,7.77,43.0,Fall 2017,utd,2
290.0,,92.0,75.0,60.0,Fall 2020,utd,2
315.0,,103.0,9.38,3.0,Fall 2017,utd,2
310.0,,93.0,7.85,28.0,Fall 2017,utd,2
303.0,,89.0,8.3,24.0,Spring 2019,utd,2
312.0,,105.0,8.28,27.0,Fall 2017,utd,2
315.0,,90.0,8.12,54.0,Fall 2017,utd,2
309.0,,93.0,8.8,1.0,Fall 2017,utd,2
311.0,,108.0,7.38,0.0,Fall 2017,utd,2
319.0,,94.0,8.29,0.0,Fall 2017,utd,2
312.0,,110.0,8.5,2.0,Fall 2017,utd,2
311.0,,96.0,7.71,2.0,Fall 2017,utd,2
316.0,,109.0,8.08,48.0,Fall 2016,utd,2
309.0,,96.0,73.0,41.0,Fall 2018,utd,2
321.0,,101.0,7.5,0.0,Fall 2017,utd,2
319.0,,106.0,8.8,1.0,Fall 2017,utd,2
306.0,,89.0,9.0,21.0,Fall 2017,utd,2
330.0,,114.0,7.2,28.0,Fall 2017,utd,2
315.0,,100.0,7.25,31.0,Fall 2017,utd,2
320.0,,113.0,8.82,8.0,Fall 2017,utd,2
315.0,,100.0,83.0,0.0,Fall 2017,utd,2
309.0,,101.0,6.81,6.0,Fall 2017,utd,2
310.0,,96.0,8.68,21.0,Fall 2017,utd,2
309.0,,94.0,8.9,37.0,Spring 2018,utd,2
325.0,,108.0,8.73,18.0,Fall 2017,utd,2
313.0,,97.0,80.67,0.0,Fall 2017,utd,2
315.0,,100.0,86.0,60.0,Fall 2017,utd,2
311.0,,110.0,89.15,0.0,Fall 2017,utd,2
316.0,,85.0,9.08,24.0,Fall 2017,utd,2
315.0,,107.0,82.0,0.0,Fall 2017,utd,2
314.0,,99.0,8.31,18.0,Fall 2017,utd,2
319.0,,103.0,8.5,0.0,Fall 2017,utd,2
314.0,,102.0,70.0,40.0,Fall 2017,utd,2
314.0,,106.0,73.0,7.0,Spring 2017,utd,2
317.0,,116.0,9.12,0.0,Fall 2017,utd,2
320.0,,100.0,9.43,29.0,Fall 2017,utd,2
321.0,,104.0,8.4,9.0,Fall 2017,utd,2
300.0,,95.0,9.01,14.0,Spring 2020,utd,2
312.0,,100.0,8.46,31.0,Fall 2017,utd,2
309.0,,91.0,9.04,20.0,Fall 2017,utd,2
314.0,,106.0,7.82,31.0,Fall 2017,utd,2
311.0,,91.0,81.6,0.0,Fall 2017,utd,2
316.0,,109.0,8.36,18.0,Fall 2017,utd,2
315.0,,106.0,8.7,12.0,Fall 2017,utd,2
312.0,,100.0,8.34,19.0,Fall 2017,utd,2
314.0,,113.0,8.02,24.0,Fall 2017,utd,2
306.0,,104.0,8.06,29.0,Fall 2017,utd,2
313.0,,104.0,8.86,30.0,Fall 2017,utd,2
308.0,,105.0,82.0,16.0,Fall 2017,utd,2
324.0,,101.0,7.21,44.0,Fall 2017,utd,2
326.0,,101.0,8.52,1.0,Fall 2017,utd,2
310.0,,110.0,8.81,1.0,Fall 2017,utd,2
316.0,,88.0,7.44,9.0,Fall 2017,utd,2
321.0,,109.0,9.7,6.0,Fall 2017,utd,2
308.0,,94.0,8.86,26.0,Fall 2017,utd,2
318.0,,98.0,8.47,18.0,Fall 2017,utd,2
311.0,,99.0,8.58,1.0,Fall 2017,utd,2
319.0,,103.0,8.06,22.0,Fall 2017,utd,2
314.0,,107.0,9.027,0.0,Fall 2017,utd,2
307.0,,100.0,83.0,36.0,Fall 2017,utd,2
314.0,,101.0,8.2,113.0,Fall 2017,utd,2
317.0,,104.0,7.71,3.0,Fall 2017,utd,2
314.0,,96.0,8.97,19.0,Fall 2017,utd,2
311.0,,107.0,8.0,10.0,Fall 2016,utd,2
319.0,,116.0,9.12,14.0,Fall 2017,utd,2
311.0,,95.0,8.5,19.0,Fall 2017,utd,2
313.0,,103.0,8.64,3.0,Fall 2017,utd,2
310.0,,105.0,78.0,24.0,Spring 2017,utd,2
325.0,,106.0,7.2,0.0,Fall 2019,utd,2
315.0,,104.0,7.8,3.0,Fall 2017,utd,2
314.0,,100.0,8.56,2.0,Fall 2017,utd,2
311.0,,95.0,8.05,14.0,Spring 2017,utd,2
326.0,,114.0,7.67,0.0,Fall 2017,utd,2
