GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
323.0,,107.0,7.54,36.0,Fall 2018,ncsu,3
319.0,,103.0,7.2,27.0,Fall 2018,ncsu,3
314.0,,101.0,8.02,34.0,Fall 2018,ncsu,3
322.0,,103.0,65.0,8.0,Fall 2018,ncsu,3
317.0,,104.0,8.03,21.0,Fall 2018,ncsu,3
320.0,,106.0,8.46,2.0,Fall 2018,ncsu,3
315.0,,103.0,8.1,13.0,Fall 2018,ncsu,3
323.0,,106.0,71.0,0.0,Fall 2018,ncsu,3
322.0,,115.0,6.6,2.0,Fall 2018,ncsu,3
317.0,,95.0,68.8,18.0,Fall 2018,ncsu,3
315.0,,104.0,77.0,3.0,Fall 2018,ncsu,3
308.0,6.5,,8.07,29.0,Fall 2018,ncsu,3
320.0,,99.0,7.5,45.0,Fall 2018,ncsu,3
322.0,,107.0,64.3,0.0,Fall 2018,ncsu,3
319.0,,104.0,7.7,0.0,Fall 2018,ncsu,3
308.0,7.0,,8.93,24.0,Fall 2018,ncsu,3
321.0,,118.0,8.93,16.0,Fall 2018,ncsu,3
320.0,,97.0,8.31,15.0,Fall 2018,ncsu,3
314.0,,103.0,7.12,18.0,Fall 2018,ncsu,3
322.0,,0.0,68.0,30.0,Fall 2018,ncsu,3
314.0,,0.0,80.6,0.0,Fall 2018,ncsu,3
317.0,,110.0,9.23,0.0,Fall 2018,ncsu,3
320.0,,0.0,7.85,19.0,Fall 2018,ncsu,3
310.0,,0.0,8.78,4.0,Fall 2018,ncsu,3
306.0,,90.0,70.25,34.0,Fall 2018,ncsu,3
322.0,,101.0,65.0,8.0,Fall 2018,ncsu,3
316.0,,0.0,73.51,15.0,Fall 2018,ncsu,3
320.0,7.5,,57.0,9.0,Fall 2018,ncsu,3
324.0,,115.0,8.1,30.0,Fall 2018,ncsu,3
316.0,,98.0,7.01,30.0,Fall 2018,ncsu,3
322.0,,109.0,8.46,40.0,Fall 2018,ncsu,3
316.0,,110.0,7.61,0.0,Fall 2018,ncsu,3
324.0,,0.0,60.0,18.0,Fall 2018,ncsu,3
317.0,,96.0,7.45,24.0,Fall 2018,ncsu,3
320.0,,110.0,8.15,16.0,Fall 2018,ncsu,3
311.0,,106.0,7.9,3.0,Fall 2018,ncsu,3
312.0,,97.0,8.62,0.0,Fall 2018,ncsu,3
312.0,,0.0,7.65,0.0,Fall 2018,ncsu,3
328.0,,0.0,64.95,0.0,Fall 2018,ncsu,3
317.0,,102.0,70.0,6.0,Fall 2018,ncsu,3
323.0,,114.0,8.36,12.0,Fall 2018,ncsu,3
314.0,,96.0,7.8,5.0,Fall 2018,ncsu,3
328.0,,0.0,6.81,19.0,Fall 2018,ncsu,3
313.0,,109.0,84.4,15.0,Fall 2018,ncsu,3
319.0,,106.0,8.25,34.0,Fall 2018,ncsu,3
320.0,,106.0,7.3,17.0,Fall 2018,ncsu,3
326.0,,0.0,6.95,19.0,Fall 2018,ncsu,3
321.0,,103.0,7.8,22.0,Fall 2018,ncsu,3
316.0,,97.0,72.0,2.0,Fall 2018,ncsu,3
313.0,,99.0,8.46,29.0,Fall 2018,ncsu,3
310.0,,101.0,8.55,0.0,Fall 2018,ncsu,3
325.0,,118.0,8.9,12.0,Fall 2018,ncsu,3
315.0,,0.0,7.34,0.0,Fall 2018,ncsu,3
317.0,,105.0,7.7,1.0,Fall 2018,ncsu,3
325.0,,106.0,71.73,31.0,Fall 2018,ncsu,3
320.0,7.5,,77.73,24.0,Fall 2018,ncsu,3
319.0,,114.0,8.0,0.0,Fall 2018,ncsu,3
312.0,,115.0,70.0,1.0,Fall 2018,ncsu,3
321.0,,0.0,80.69,48.0,Fall 2018,ncsu,3
315.0,,0.0,66.0,30.0,Fall 2018,ncsu,3
321.0,,115.0,74.86,33.0,Fall 2018,ncsu,3
326.0,,102.0,7.56,0.0,Fall 2018,ncsu,3
308.0,,103.0,72.0,1.0,Fall 2018,ncsu,3
322.0,,116.0,9.16,11.0,Fall 2018,ncsu,3
319.0,,91.0,7.86,0.0,Fall 2018,ncsu,3
317.0,,105.0,8.07,24.0,Fall 2018,ncsu,3
317.0,,0.0,8.9,16.0,Fall 2018,ncsu,3
312.0,,0.0,7.24,0.0,Fall 2018,ncsu,3
318.0,,114.0,7.76,23.0,Fall 2018,ncsu,3
317.0,,108.0,8.28,41.0,Fall 2018,ncsu,3
311.0,7.0,,9.2,24.0,Fall 2018,ncsu,3
313.0,7.0,,7.46,15.0,Fall 2018,ncsu,3
310.0,,103.0,7.98,54.0,Fall 2018,ncsu,3
322.0,,111.0,8.6,20.0,Fall 2018,ncsu,3
321.0,,105.0,7.1,1.0,Fall 2018,ncsu,3
315.0,,104.0,7.43,2.0,Fall 2018,ncsu,3
313.0,,103.0,85.96,48.0,Fall 2018,ncsu,3
319.0,,0.0,8.901,0.0,Fall 2018,ncsu,3
318.0,,116.0,64.5,25.0,Fall 2018,ncsu,3
313.0,,106.0,8.56,0.0,Fall 2018,ncsu,3
319.0,,109.0,7.2,4.0,Fall 2018,ncsu,3
326.0,,0.0,7.53,32.0,Fall 2018,ncsu,3
325.0,,111.0,8.23,21.0,Fall 2018,ncsu,3
320.0,,105.0,9.01,16.0,Fall 2018,ncsu,3
318.0,,101.0,9.36,16.0,Fall 2018,ncsu,3
321.0,,106.0,8.5,0.0,Fall 2018,ncsu,3
329.0,,109.0,7.59,20.0,Fall 2018,ncsu,3
317.0,,104.0,76.81,3.0,Fall 2018,ncsu,3
312.0,,85.0,86.0,30.0,Fall 2018,ncsu,3
325.0,,114.0,65.0,2.0,Fall 2018,ncsu,3
312.0,,104.0,7.85,12.0,Fall 2018,ncsu,3
319.0,,110.0,68.0,18.0,Fall 2018,ncsu,3
314.0,,105.0,8.5,41.0,Fall 2018,ncsu,3
319.0,,102.0,9.03,18.0,Fall 2018,ncsu,3
320.0,,0.0,9.3,30.0,Fall 2018,ncsu,3
310.0,,93.0,7.77,2.0,Fall 2018,ncsu,3
315.0,8.0,,91.5,0.0,Fall 2018,ncsu,3
320.0,,0.0,7.48,27.0,Fall 2018,ncsu,3
314.0,,109.0,81.08,27.0,Fall 2019,ncsu,3
314.0,,105.0,73.0,18.0,Fall 2018,ncsu,3
307.0,,89.0,8.14,13.0,Fall 2018,ncsu,3
318.0,,90.0,8.6,30.0,Fall 2018,ncsu,3
322.0,7.0,,82.0,6.0,Fall 2018,ncsu,3
324.0,,112.0,7.91,15.0,Fall 2018,ncsu,3
309.0,,100.0,8.75,15.0,Fall 2018,ncsu,3
325.0,,113.0,8.09,32.0,Fall 2018,ncsu,3
318.0,,113.0,7.7,10.0,Fall 2018,ncsu,3
312.0,,103.0,70.0,36.0,Fall 2018,ncsu,3
315.0,,108.0,83.3,8.0,Fall 2018,ncsu,3
320.0,,111.0,85.5,0.0,Fall 2018,ncsu,3
311.0,,108.0,79.4,19.0,Fall 2018,ncsu,3
315.0,,94.0,7.4,8.0,Fall 2018,ncsu,3
309.0,,99.0,8.0,42.0,Fall 2018,ncsu,3
322.0,,110.0,9.01,11.0,Fall 2018,ncsu,3
314.0,,106.0,8.2,18.0,Fall 2018,ncsu,3
328.0,,113.0,9.25,4.0,Fall 2018,ncsu,3
312.0,,112.0,8.92,11.0,Fall 2018,ncsu,3
316.0,,100.0,7.25,6.0,Fall 2018,ncsu,3
313.0,,96.0,8.6,28.0,Fall 2018,ncsu,3
325.0,,116.0,9.31,23.0,Fall 2018,ncsu,3
309.0,,97.0,8.06,24.0,Fall 2018,ncsu,3
317.0,,0.0,8.36,24.0,Fall 2018,ncsu,3
321.0,,114.0,7.7,0.0,Fall 2018,ncsu,3
322.0,,111.0,7.87,41.0,Fall 2018,ncsu,3
307.0,7.0,,83.4,2.0,Fall 2018,ncsu,3
321.0,,100.0,8.88,33.0,Fall 2018,ncsu,3
319.0,,104.0,9.0,36.0,Fall 2018,ncsu,3
326.0,,0.0,9.0,17.0,Fall 2018,ncsu,3
319.0,,109.0,8.23,32.0,Fall 2018,ncsu,3
316.0,,104.0,9.2,18.0,Fall 2018,ncsu,3
320.0,,102.0,7.5,33.0,Fall 2017,ncsu,3
316.0,,106.0,9.21,24.0,Fall 2018,ncsu,3
313.0,,101.0,7.41,33.0,Fall 2018,ncsu,3
321.0,,113.0,9.65,26.0,Fall 2018,ncsu,3
321.0,,0.0,6.92,18.0,Fall 2018,ncsu,3
313.0,,101.0,71.69,68.0,Fall 2018,ncsu,3
314.0,,92.0,72.0,18.0,Fall 2018,ncsu,3
