GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
322.0,,115.0,67.9,22.0,Spring 2019,usc,3
317.0,,106.0,7.98,24.0,Spring 2019,usc,3
320.0,,103.0,77.9,12.0,Fall 2018,usc,3
307.0,,88.0,8.15,12.0,Spring 2019,usc,3
312.0,,109.0,8.5,7.0,Fall 2019,usc,3
314.0,,93.0,74.0,3.0,Fall 2018,usc,3
309.0,,94.0,8.7,0.0,Fall 2018,usc,3
312.0,,99.0,8.25,13.0,Fall 2018,usc,3
315.0,,98.0,8.4,1.0,Fall 2018,usc,3
310.0,,95.0,6.01,0.0,Spring 2018,usc,3
330.0,,111.0,8.3,28.0,Fall 2018,usc,3
321.0,,112.0,8.59,37.0,Fall 2018,usc,3
322.0,,103.0,65.0,8.0,Fall 2018,usc,3
320.0,,109.0,77.0,12.0,Spring 2018,usc,3
315.0,,108.0,83.3,8.0,Fall 2018,usc,3
320.0,,105.0,8.74,26.0,Fall 2018,usc,3
320.0,,101.0,70.28,1.0,Fall 2018,usc,3
310.0,,106.0,75.6,42.0,Fall 2018,usc,3
318.0,,104.0,8.6,40.0,Fall 2018,usc,3
301.0,,99.0,75.0,47.0,Fall 2019,usc,3
312.0,,103.0,70.0,36.0,Fall 2018,usc,3
312.0,,99.0,8.7,0.0,Fall 2018,usc,3
320.0,,102.0,8.73,7.0,Fall 2018,usc,3
305.0,,89.0,8.69,28.0,Fall 2018,usc,3
314.0,,106.0,8.2,18.0,Fall 2018,usc,3
313.0,,103.0,73.5,3.0,Fall 2018,usc,3
320.0,,106.0,8.46,2.0,Fall 2018,usc,3
321.0,,101.0,75.9,64.0,Fall 2018,usc,3
332.0,,110.0,72.0,0.0,Fall 2018,usc,3
333.0,,111.0,72.61,10.0,Fall 2019,usc,3
314.0,,92.0,72.0,18.0,Fall 2018,usc,3
325.0,,103.0,85.0,32.0,Fall 2018,usc,3
321.0,,106.0,8.02,14.0,Fall 2018,usc,3
302.0,,96.0,8.0,0.0,Fall 2018,usc,3
328.0,,115.0,8.14,13.0,Fall 2018,usc,3
306.0,,108.0,9.0,29.0,Fall 2018,usc,3
320.0,,112.0,66.5,15.0,Fall 2017,usc,3
309.0,,98.0,3.67,12.0,Fall 2018,usc,3
322.0,,103.0,8.09,17.0,Fall 2017,usc,3
319.0,,97.0,7.65,40.0,Fall 2018,usc,3
308.0,,101.0,8.46,28.0,Fall 2018,usc,3
313.0,,107.0,68.0,11.0,Fall 2018,usc,3
309.0,,96.0,69.36,0.0,Fall 2018,usc,3
307.0,,106.0,8.43,57.0,Fall 2018,usc,3
324.0,,111.0,73.28,50.0,Fall 2020,usc,3
312.0,,93.0,8.28,55.0,Fall 2018,usc,3
320.0,,105.0,8.58,31.0,Fall 2018,usc,3
312.0,,0.0,85.5,3.0,Fall 2018,usc,3
310.0,,101.0,7.64,14.0,Fall 2018,usc,3
332.0,,114.0,8.19,34.0,Fall 2019,usc,3
311.0,,104.0,8.48,13.0,Fall 2018,usc,3
320.0,,0.0,74.0,22.0,Fall 2018,usc,3
313.0,,108.0,8.63,2.0,Fall 2018,usc,3
324.0,,112.0,73.03,6.0,Fall 2018,usc,3
313.0,,107.0,8.5,18.0,Fall 2018,usc,3
319.0,,109.0,8.23,32.0,Fall 2018,usc,3
318.0,,0.0,8.37,28.0,Fall 2018,usc,3
318.0,,114.0,7.76,23.0,Fall 2018,usc,3
316.0,,109.0,8.32,8.0,Fall 2018,usc,3
312.0,,99.0,72.0,27.0,Fall 2018,usc,3
316.0,,0.0,73.0,41.0,Fall 2018,usc,3
320.0,,105.0,8.8,4.0,Fall 2018,usc,3
308.0,,0.0,80.1,33.0,Fall 2018,usc,3
330.0,,0.0,6.96,8.0,Fall 2018,usc,3
325.0,,0.0,9.09,0.0,Fall 2018,usc,3
327.0,,107.0,74.0,9.0,Fall 2018,usc,3
309.0,,105.0,8.3,0.0,Fall 2018,usc,3
322.0,,101.0,65.0,8.0,Fall 2018,usc,3
311.0,,0.0,65.0,29.0,Fall 2019,usc,3
312.0,,104.0,70.0,2.0,Fall 2018,usc,3
327.0,,116.0,8.9,8.0,Fall 2018,usc,3
313.0,,0.0,8.03,60.0,Fall 2018,usc,3
317.0,,110.0,8.9,21.0,Fall 2018,usc,3
314.0,,104.0,8.27,0.0,Fall 2018,usc,3
312.0,0.0,,80.7,15.0,Fall 2018,usc,3
320.0,,105.0,61.54,33.0,Fall 2018,usc,3
311.0,,102.0,68.95,0.0,Fall 2018,usc,3
314.0,,98.0,8.16,16.0,Fall 2018,usc,3
322.0,8.0,,8.44,6.0,Fall 2018,usc,3
320.0,,110.0,8.15,16.0,Fall 2018,usc,3
318.0,,107.0,8.18,1.0,Fall 2018,usc,3
307.0,,87.0,8.07,0.0,Fall 2018,usc,3
318.0,,110.0,62.8,21.0,Fall 2018,usc,3
313.0,,108.0,8.42,16.0,Fall 2018,usc,3
309.0,,0.0,7.8,0.0,Fall 2018,usc,3
328.0,,0.0,64.95,0.0,Fall 2018,usc,3
309.0,,100.0,8.75,15.0,Fall 2018,usc,3
319.0,,106.0,8.25,34.0,Fall 2018,usc,3
307.0,7.0,,83.4,2.0,Fall 2018,usc,3
316.0,,104.0,9.2,18.0,Fall 2018,usc,3
321.0,,106.0,8.36,21.0,Fall 2018,usc,3
312.0,,102.0,76.01,60.0,Fall 2018,usc,3
324.0,,112.0,63.56,20.0,Fall 2018,usc,3
