GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
305.0,,97.0,8.673,3.0,Fall 2017,neu,3
308.0,,96.0,71.0,10.0,Fall 2017,neu,3
310.0,,110.0,67.3,18.0,Fall 2017,neu,3
317.0,,104.0,60.44,17.0,Fall 2017,neu,3
314.0,,107.0,62.22,15.0,Fall 2017,neu,3
321.0,,107.0,9.05,0.0,Fall 2020,neu,3
312.0,,98.0,61.13,19.0,Fall 2017,neu,3
316.0,,100.0,65.28,7.0,Fall 2017,neu,3
317.0,,108.0,58.0,14.0,Spring 2017,neu,3
318.0,,102.0,60.95,42.0,Spring 2017,neu,3
319.0,,105.0,85.6,36.0,Spring 2017,neu,3
318.0,,107.0,71.7,36.0,Spring 2017,neu,3
303.0,,85.0,8.53,6.0,Spring 2017,neu,3
290.0,,84.0,74.0,48.0,Spring 2017,neu,3
301.0,6.0,,80.0,32.0,Spring 2017,neu,3
311.0,,92.0,7.48,24.0,Spring 2017,neu,3
302.0,,100.0,85.0,24.0,Spring 2017,neu,3
329.0,,112.0,59.2,36.0,Spring 2017,neu,3
306.0,,93.0,82.6,42.0,Spring 2017,neu,3
309.0,,90.0,7.9,6.0,Spring 2017,neu,3
307.0,,107.0,8.17,9.0,Spring 2017,neu,3
305.0,,89.0,7.73,12.0,Spring 2017,neu,3
316.0,,98.0,7.92,24.0,Fall 2017,neu,3
307.0,,96.0,7.98,43.0,Spring 2017,neu,3
307.0,,99.0,8.12,12.0,Spring 2017,neu,3
311.0,,85.0,81.0,24.0,Spring 2017,neu,3
309.0,,109.0,8.136,4.0,Spring 2017,neu,3
308.0,,104.0,8.0,20.0,Spring 2017,neu,3
311.0,,106.0,61.0,30.0,Fall 2017,neu,3
310.0,,102.0,8.57,1.0,Spring 2017,neu,3
316.0,,103.0,62.84,9.0,Spring 2017,neu,3
323.0,,114.0,6.88,8.0,Spring 2017,neu,3
311.0,7.0,,7.89,18.0,Spring 2017,neu,3
308.0,,95.0,65.77,24.0,Spring 2017,neu,3
309.0,,91.0,8.78,48.0,Spring 2017,neu,3
303.0,,91.0,8.63,18.0,Spring 2017,neu,3
316.0,,98.0,63.0,55.0,Spring 2018,neu,3
312.0,,99.0,6.8,6.0,Spring 2017,neu,3
300.0,6.5,,8.0,24.0,Spring 2017,neu,3
317.0,,107.0,58.0,10.0,Fall 2016,neu,3
312.0,,94.0,7.0,24.0,Fall 2016,neu,3
312.0,,99.0,76.0,30.0,Fall 2016,neu,3
299.0,,83.0,69.0,30.0,Fall 2016,neu,3
315.0,,100.0,67.5,19.0,Fall 2016,neu,3
301.0,,88.0,7.3,0.0,Fall 2016,neu,3
315.0,,113.0,63.4,22.0,Fall 2016,neu,3
318.0,,94.0,70.0,11.0,Fall 2016,neu,3
313.0,,110.0,69.0,30.0,Fall 2017,neu,3
315.0,,100.0,9.5,6.0,Fall 2016,neu,3
302.0,,94.0,8.5,17.0,Fall 2016,neu,3
310.0,,96.0,78.0,60.0,Fall 2016,neu,3
306.0,,83.0,7.81,38.0,Fall 2016,neu,3
306.0,,93.0,8.69,45.0,Fall 2018,neu,3
306.0,,89.0,62.95,36.0,Fall 2016,neu,3
319.0,,101.0,70.0,6.0,Fall 2016,neu,3
325.0,,108.0,7.5,4.0,Spring 2017,neu,3
312.0,,100.0,80.0,41.0,Spring 2017,neu,3
309.0,,100.0,54.0,50.0,Fall 2016,neu,3
312.0,,111.0,65.0,12.0,Fall 2016,neu,3
313.0,,107.0,7.56,36.0,Fall 2016,neu,3
308.0,,106.0,71.97,0.0,Fall 2016,neu,3
304.0,,93.0,7.45,0.0,Fall 2016,neu,3
309.0,,106.0,8.14,18.0,Fall 2016,neu,3
309.0,,107.0,78.8,40.0,Fall 2016,neu,3
315.0,,110.0,8.1,24.0,Fall 2016,neu,3
310.0,,104.0,76.0,24.0,Fall 2016,neu,3
316.0,,104.0,73.0,70.0,Fall 2016,neu,3
318.0,,107.0,66.43,2.0,Fall 2016,neu,3
323.0,,96.0,63.0,24.0,Fall 2017,neu,3
301.0,,103.0,67.0,8.0,Fall 2016,neu,3
304.0,,105.0,60.07,26.0,Fall 2016,neu,3
314.0,,106.0,7.76,30.0,Fall 2016,neu,3
318.0,,102.0,7.64,10.0,Fall 2016,neu,3
308.0,,97.0,7.58,24.0,Fall 2016,neu,3
317.0,,105.0,62.0,40.0,Fall 2016,neu,3
313.0,,106.0,7.12,0.0,Fall 2016,neu,3
312.0,8.0,,8.4,0.0,Fall 2016,neu,3
303.0,,103.0,6.96,30.0,Fall 2016,neu,3
323.0,,110.0,7.92,0.0,Fall 2016,neu,3
318.0,,107.0,7.89,0.0,Fall 2016,neu,3
323.0,,108.0,6.5,59.0,Spring 2019,neu,3
319.0,,96.0,6.8,5.0,Fall 2016,neu,3
309.0,,96.0,8.55,22.0,Fall 2016,neu,3
