GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
312.0,,100.0,10.0,79.0,Fall 2019,utd,2
307.0,,100.0,9.4,7.0,Fall 2019,utd,2
312.0,,95.0,71.6,13.0,Fall 2019,utd,2
316.0,,102.0,81.0,6.0,Fall 2019,utd,2
308.0,,91.0,8.6,8.0,Fall 2019,utd,2
317.0,8.0,,85.0,2.0,Fall 2019,utd,2
308.0,,97.0,9.5,5.0,Fall 2019,utd,2
321.0,,102.0,8.61,24.0,Fall 2019,utd,2
322.0,8.0,,7.35,0.0,Fall 2019,utd,2
317.0,,107.0,8.67,30.0,Fall 2019,utd,2
320.0,,110.0,8.5,0.0,Fall 2019,utd,2
318.0,,103.0,8.7,0.0,Fall 2019,utd,2
324.0,,109.0,8.16,29.0,Fall 2019,utd,2
315.0,,109.0,8.45,25.0,Fall 2019,utd,2
314.0,,102.0,8.65,16.0,Fall 2019,utd,2
325.0,,107.0,8.61,16.0,Fall 2020,utd,2
317.0,,103.0,79.3,12.0,Fall 2019,utd,2
321.0,,0.0,9.0,6.0,Fall 2019,utd,2
324.0,,108.0,8.34,26.0,Fall 2019,utd,2
325.0,,114.0,7.39,27.0,Fall 2019,utd,2
309.0,6.5,,8.12,20.0,Fall 2019,utd,2
319.0,,110.0,80.0,14.0,Fall 2019,utd,2
320.0,,113.0,8.15,2.0,Fall 2019,utd,2
314.0,,105.0,73.33,20.0,Fall 2019,utd,2
315.0,,95.0,8.8,0.0,Fall 2019,utd,2
308.0,,94.0,84.0,20.0,Fall 2019,utd,2
310.0,7.5,,8.5,6.0,Fall 2019,utd,2
322.0,,101.0,7.77,27.0,Fall 2019,utd,2
312.0,,105.0,9.01,20.0,Fall 2019,utd,2
310.0,,100.0,9.36,8.0,Fall 2019,utd,2
313.0,,97.0,8.2,0.0,Fall 2019,utd,2
312.0,7.0,,82.2,0.0,Fall 2019,utd,2
309.0,,95.0,8.16,33.0,Fall 2019,utd,2
310.0,,101.0,8.49,6.0,Fall 2019,utd,2
315.0,,100.0,6.9,0.0,Fall 2019,utd,2
326.0,,106.0,8.7,22.0,Fall 2019,utd,2
316.0,,0.0,78.15,0.0,Fall 2019,utd,2
309.0,7.5,,9.69,0.0,Fall 2019,utd,2
319.0,,112.0,8.34,13.0,Fall 2019,utd,2
310.0,6.5,,8.55,5.0,Fall 2019,utd,2
316.0,,91.0,8.12,0.0,Fall 2019,utd,2
311.0,,107.0,8.7,16.0,Fall 2019,utd,2
325.0,8.0,,88.0,2.0,Fall 2019,utd,2
321.0,,112.0,8.39,5.0,Fall 2019,utd,2
308.0,,90.0,8.15,19.0,Fall 2019,utd,2
311.0,8.0,,9.0,7.0,Fall 2019,utd,2
308.0,,96.0,8.79,24.0,Fall 2019,utd,2
308.0,6.5,,8.33,14.0,Fall 2018,utd,2
311.0,7.5,,9.69,0.0,Fall 2019,utd,2
318.0,,103.0,7.7,22.0,Fall 2019,utd,2
321.0,,102.0,7.94,0.0,Fall 2019,utd,2
312.0,,102.0,9.12,3.0,Fall 2019,utd,2
320.0,,106.0,8.23,0.0,Fall 2019,utd,2
313.0,7.5,,8.38,21.0,Fall 2019,utd,2
305.0,6.5,,8.9,31.0,Fall 2019,utd,2
314.0,,99.0,8.41,0.0,Fall 2019,utd,2
306.0,,93.0,8.81,0.0,Fall 2019,utd,2
311.0,,100.0,8.5,7.0,Fall 2019,utd,2
314.0,,111.0,8.71,0.0,Fall 2019,utd,2
