GRE,IELTS,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
310.0,,98.0,8.16,1.0,Fall 2016,usc,3
310.0,,100.0,63.0,22.0,Fall 2016,usc,3
319.0,,113.0,72.8,24.0,Fall 2016,usc,3
319.0,,106.0,63.86,30.0,Fall 2016,usc,3
312.0,,97.0,7.13,0.0,Fall 2016,usc,3
314.0,,107.0,6.3,12.0,Fall 2016,usc,3
313.0,,101.0,71.22,50.0,Fall 2016,usc,3
311.0,,108.0,63.0,26.0,Fall 2016,usc,3
327.0,,114.0,7.87,30.0,Fall 2016,usc,3
320.0,,107.0,73.0,0.0,Fall 2014,usc,3
283.0,0.0,,71.0,0.0,Fall 2014,usc,3
322.0,,110.0,62.3,0.0,Fall 2014,usc,3
326.0,,108.0,56.0,0.0,Fall 2014,usc,3
313.0,,106.0,64.61,0.0,Fall 2013,usc,3
320.0,,108.0,66.0,0.0,Fall 2015,usc,3
314.0,,90.0,63.0,0.0,Fall 2015,usc,3
331.0,,116.0,6.0,30.0,Fall 2015,usc,3
315.0,,110.0,7.88,0.0,Fall 2013,usc,3
318.0,,102.0,7.02,10.0,Fall 2015,usc,3
319.0,,102.0,8.43,0.0,Fall 2015,usc,3
314.0,,100.0,67.0,0.0,Fall 2014,usc,3
315.0,,97.0,61.0,0.0,Fall 2014,usc,3
322.0,,104.0,70.0,20.0,Fall 2015,usc,3
329.0,,111.0,7.82,0.0,Fall 2015,usc,3
302.0,,92.0,82.0,20.0,Fall 2015,usc,3
314.0,,104.0,7.67,0.0,Fall 2016,usc,3
331.0,,110.0,7.15,30.0,Fall 2015,usc,3
312.0,,106.0,7.62,0.0,Fall 2014,usc,3
329.0,,114.0,8.09,0.0,Fall 2016,usc,3
332.0,,108.0,7.82,20.0,Fall 2015,usc,3
322.0,,107.0,74.0,0.0,Fall 2015,usc,3
320.0,,107.0,6.8,10.0,Fall 2015,usc,3
324.0,,112.0,62.0,30.0,Spring 2016,usc,3
326.0,,108.0,8.62,30.0,Fall 2015,usc,3
315.0,,90.0,64.0,0.0,Fall 2015,usc,3
310.0,,100.0,62.56,20.0,Fall 2015,usc,3
309.0,,97.0,6.0,0.0,Fall 2015,usc,3
314.0,,108.0,8.0,0.0,Spring 2016,usc,3
310.0,,93.0,8.1,10.0,Fall 2015,usc,3
308.0,,85.0,8.0,30.0,Fall 2016,usc,3
309.0,,90.0,8.51,30.0,Spring 2016,usc,3
311.0,,100.0,8.85,0.0,Fall 2015,usc,3
323.0,,106.0,6.0,0.0,Fall 2015,usc,3
318.0,,111.0,8.3,30.0,Fall 2015,usc,3
314.0,,106.0,8.74,30.0,Fall 2015,usc,3
310.0,,96.0,68.32,0.0,Fall 2015,usc,3
305.0,,102.0,74.15,0.0,Fall 2015,usc,3
312.0,,110.0,8.0,20.0,Fall 2014,usc,3
311.0,,100.0,62.0,0.0,Fall 2016,usc,3
311.0,,106.0,7.39,0.0,Fall 2015,usc,3
311.0,,103.0,7.2,10.0,Fall 2014,usc,3
316.0,,113.0,8.06,30.0,Fall 2015,usc,3
312.0,,102.0,8.67,20.0,Fall 2015,usc,3
313.0,,105.0,9.0,0.0,Fall 2016,usc,3
311.0,,91.0,72.0,30.0,Fall 2015,usc,3
315.0,,95.0,67.0,30.0,Fall 2015,usc,3
316.0,,104.0,71.0,0.0,Fall 2015,usc,3
321.0,,109.0,66.0,0.0,Fall 2015,usc,3
314.0,,107.0,87.0,20.0,Spring 2016,usc,3
320.0,,96.0,7.86,20.0,Fall 2015,usc,3
299.0,,108.0,64.45,0.0,Fall 2015,usc,3
318.0,,94.0,7.53,10.0,Fall 2015,usc,3
309.0,,105.0,7.0,0.0,Fall 2016,usc,3
320.0,,108.0,63.0,0.0,Fall 2015,usc,3
303.0,,106.0,59.0,30.0,Spring 2016,usc,3
312.0,,102.0,7.91,0.0,null 2013,usc,3
316.0,,106.0,67.1,0.0,Fall 2013,usc,3
298.0,,99.0,58.0,30.0,Fall 2014,usc,3
320.0,,116.0,56.2,20.0,Fall 2013,usc,3
314.0,,108.0,7.57,0.0,Fall 2013,usc,3
306.0,,98.0,65.0,30.0,Fall 2013,usc,3
315.0,,106.0,59.0,20.0,Fall 2013,usc,3
307.0,,94.0,61.0,10.0,Fall 2013,usc,3
310.0,,106.0,7.82,10.0,Fall 2013,usc,3
315.0,,102.0,66.42,30.0,Spring 2016,usc,3
306.0,,103.0,58.0,20.0,Fall 2015,usc,3
314.0,,98.0,6.63,0.0,Fall 2015,usc,3
316.0,,102.0,72.0,20.0,Fall 2013,usc,3
314.0,7.5,,7.2,0.0,Fall 2020,ncsu,3
303.0,,103.0,7.9,6.0,Fall 2020,ncsu,3
331.0,,111.0,83.2,2.0,Fall 2020,ncsu,3
317.0,,100.0,8.46,0.0,Fall 2020,ncsu,3
316.0,,100.0,8.21,31.0,Fall 2020,ncsu,3
323.0,,101.0,6.78,9.0,Fall 2020,ncsu,3
321.0,,109.0,8.5,1.0,Fall 2020,ncsu,3
311.0,,102.0,8.8,3.0,Fall 2020,ncsu,3
324.0,,107.0,8.81,36.0,Fall 2020,ncsu,3
316.0,,103.0,73.16,1.0,Fall 2020,ncsu,3
316.0,,107.0,8.53,6.0,Fall 2020,ncsu,3
