GRE,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
313.0,116.0,8.3,4.0,Fall 2020,neu,2
321.0,114.0,9.14,20.0,Fall 2020,neu,2
326.0,108.0,9.29,21.0,Fall 2020,neu,2
324.0,110.0,8.23,10.0,Fall 2020,neu,2
316.0,111.0,8.56,0.0,Fall 2020,neu,2
322.0,107.0,7.76,20.0,Fall 2020,neu,2
332.0,110.0,8.6,12.0,Fall 2020,neu,2
315.0,101.0,78.4,64.0,Fall 2020,neu,2
312.0,114.0,8.8,11.0,Fall 2020,neu,2
319.0,107.0,9.41,17.0,Fall 2020,neu,2
322.0,113.0,83.0,51.0,Fall 2020,neu,2
311.0,102.0,8.87,40.0,Fall 2020,neu,2
318.0,108.0,83.0,13.0,Fall 2020,neu,2
316.0,101.0,8.42,17.0,Fall 2020,neu,2
320.0,115.0,9.33,0.0,Fall 2020,neu,2
314.0,104.0,8.5,0.0,Fall 2020,neu,2
323.0,105.0,9.39,22.0,Fall 2020,neu,2
311.0,109.0,9.13,0.0,Fall 2020,neu,2
310.0,109.0,9.02,2.0,Fall 2020,neu,2
318.0,109.0,8.3,2.0,Fall 2020,neu,2
311.0,101.0,10.0,10.0,Fall 2020,neu,2
321.0,107.0,8.29,40.0,Fall 2020,neu,2
335.0,120.0,8.6,20.0,Fall 2020,neu,2
321.0,109.0,8.33,13.0,Spring 2020,neu,2
317.0,101.0,6.64,0.0,Spring 2020,neu,2
299.0,109.0,8.6,17.0,Spring 2020,neu,2
315.0,106.0,8.87,0.0,Spring 2020,neu,2
315.0,106.0,8.87,38.0,Spring 2020,neu,2
313.0,109.0,69.31,63.0,Spring 2020,neu,2
315.0,101.0,8.66,26.0,Spring 2020,neu,2
319.0,101.0,7.75,36.0,Spring 2020,neu,2
318.0,100.0,8.3,0.0,Spring 2020,neu,2
317.0,97.0,6.47,15.0,Spring 2020,neu,2
322.0,102.0,7.63,73.0,Spring 2020,neu,2
315.0,107.0,8.95,39.0,Spring 2020,neu,2
325.0,107.0,6.7,10.0,Spring 2020,neu,2
308.0,109.0,9.09,35.0,Spring 2020,neu,2
320.0,109.0,8.2,15.0,Fall 2020,neu,2
329.0,108.0,8.28,18.0,Fall 2019,neu,2
