GRE,TOEFL,UNDERGRAD,WORK EX,YEAR,UNIVERSITY,STATUS
312.0,107.0,8.82,1.0,Fall 2020,utd,2
317.0,102.0,8.22,31.0,Fall 2020,utd,2
318.0,96.0,8.5,40.0,Fall 2020,utd,2
317.0,104.0,7.7,15.0,Fall 2020,utd,2
317.0,98.0,8.97,35.0,Fall 2020,utd,2
308.0,109.0,8.76,45.0,Fall 2020,utd,2
312.0,94.0,8.21,8.0,Fall 2019,utd,2
325.0,104.0,8.82,4.0,Fall 2020,utd,2
318.0,108.0,9.35,21.0,Fall 2020,utd,2
316.0,103.0,8.42,2.0,Fall 2020,utd,2
314.0,106.0,8.4,28.0,Fall 2019,utd,2
313.0,102.0,8.7,8.0,Fall 2020,utd,2
320.0,94.0,77.6,38.0,Fall 2020,utd,2
320.0,104.0,9.09,6.0,Fall 2020,utd,2
310.0,108.0,73.54,24.0,Fall 2020,utd,2
315.0,97.0,7.96,13.0,Fall 2020,utd,2
308.0,94.0,8.4,10.0,Fall 2020,utd,2
311.0,101.0,8.687999999999999,42.0,Fall 2020,utd,2
316.0,100.0,8.5,1.0,Fall 2020,utd,2
316.0,114.0,9.17,8.0,Fall 2020,utd,2
320.0,101.0,7.12,60.0,Fall 2020,utd,2
313.0,107.0,8.66,8.0,Spring 2020,utd,2
312.0,96.0,7.75,19.0,Fall 2020,utd,2
309.0,93.0,8.2,15.0,Fall 2020,utd,2
318.0,97.0,8.67,20.0,Fall 2020,utd,2
305.0,94.0,8.42,22.0,Fall 2020,utd,2
315.0,97.0,76.4,7.0,Fall 2020,utd,2
310.0,109.0,8.43,28.0,Fall 2020,utd,2
309.0,109.0,82.0,12.0,Fall 2020,utd,2
318.0,102.0,9.75,12.0,Fall 2020,utd,2
320.0,109.0,7.5,0.0,Fall 2020,utd,2
327.0,106.0,7.01,0.0,Fall 2020,utd,2
323.0,90.0,8.42,2.0,Fall 2020,utd,2
310.0,109.0,85.93,6.0,Fall 2020,utd,2
310.0,105.0,8.6,30.0,Fall 2020,utd,2
320.0,114.0,8.3,0.0,Fall 2020,utd,2
315.0,104.0,8.7,49.0,Fall 2020,utd,2
323.0,112.0,8.5,0.0,Fall 2020,utd,2
310.0,101.0,8.8,1.0,Fall 2020,utd,2
316.0,104.0,8.82,32.0,Fall 2020,utd,2
312.0,102.0,9.5,0.0,Fall 2020,utd,2
308.0,93.0,8.27,0.0,Fall 2020,utd,2
316.0,99.0,9.4,0.0,Fall 2020,utd,2
314.0,107.0,9.36,18.0,Fall 2020,utd,2
318.0,108.0,8.45,55.0,Fall 2020,utd,2
329.0,110.0,7.15,32.0,Fall 2020,utd,2
324.0,106.0,7.26,0.0,Fall 2020,utd,2
309.0,101.0,8.51,0.0,Fall 2020,utd,2
312.0,95.0,9.1,22.0,Fall 2020,utd,2
313.0,108.0,8.12,6.0,Fall 2020,utd,2
324.0,113.0,8.34,0.0,Fall 2020,utd,2
317.0,105.0,8.3,22.0,Fall 2020,utd,2
314.0,0.0,7.71,16.0,Fall 2020,utd,2
321.0,102.0,7.87,2.0,Fall 2020,utd,2
313.0,100.0,8.3,14.0,Fall 2020,utd,2
309.0,97.0,8.76,0.0,Fall 2020,utd,2
311.0,105.0,8.61,-15.0,Fall 2020,utd,2
320.0,115.0,7.95,8.0,Fall 2020,utd,2
315.0,106.0,8.64,49.0,Fall 2020,utd,2
310.0,96.0,7.28,0.0,Fall 2020,utd,2
328.0,107.0,7.8,0.0,Fall 2020,utd,2
316.0,108.0,8.32,17.0,Fall 2020,utd,2
310.0,98.0,9.5,0.0,Fall 2020,utd,2
326.0,109.0,8.23,28.0,Fall 2020,utd,2
313.0,112.0,91.0,15.0,Fall 2020,utd,2
318.0,108.0,8.67,28.0,Fall 2020,utd,2
309.0,109.0,9.48,10.0,Fall 2020,utd,2
313.0,111.0,8.94,3.0,Fall 2020,utd,2
317.0,106.0,8.24,13.0,Fall 2020,utd,2
307.0,93.0,9.0,6.0,Fall 2020,utd,2
318.0,109.0,9.29,7.0,Fall 2020,utd,2
318.0,100.0,82.8,26.0,Fall 2020,utd,2
321.0,114.0,9.56,0.0,Fall 2020,utd,2
318.0,101.0,7.88,34.0,Fall 2020,utd,2
315.0,102.0,8.98,31.0,Fall 2020,utd,2
310.0,106.0,8.41,0.0,Fall 2020,utd,2
316.0,93.0,79.6,19.0,Fall 2020,utd,2
313.0,105.0,8.8,1.0,Fall 2020,utd,2
321.0,106.0,7.98,2.0,Fall 2020,utd,2
316.0,103.0,7.1,13.0,Fall 2020,utd,2
321.0,107.0,5.5,0.0,Fall 2020,utd,2
321.0,117.0,8.9,14.0,Fall 2020,utd,2
312.0,101.0,8.2,25.0,Fall 2020,utd,2
322.0,110.0,9.0,7.0,Fall 2020,utd,2
312.0,101.0,79.25,14.0,Fall 2020,utd,2
305.0,105.0,9.5,76.0,Fall 2020,utd,2
319.0,107.0,8.35,30.0,Fall 2020,utd,2
312.0,113.0,8.6,2.0,Fall 2020,utd,2
317.0,114.0,8.66,0.0,Fall 2020,utd,2
316.0,97.0,73.27,15.0,Fall 2020,utd,2
320.0,102.0,8.11,27.0,Fall 2020,utd,2
319.0,109.0,9.0,21.0,Fall 2020,utd,2
316.0,113.0,8.17,21.0,Fall 2020,utd,2
307.0,101.0,8.8,28.0,Fall 2020,utd,2
312.0,114.0,9.26,21.0,Fall 2020,utd,2
320.0,99.0,7.75,40.0,Fall 2020,utd,2
325.0,113.0,8.82,12.0,Fall 2020,utd,2
319.0,97.0,9.538,25.0,Fall 2020,utd,2
315.0,114.0,7.8,0.0,Fall 2020,utd,2
317.0,105.0,75.0,17.0,Fall 2020,utd,2
322.0,106.0,8.23,8.0,Fall 2020,utd,2
319.0,108.0,8.68,7.0,Fall 2020,utd,2
319.0,107.0,7.24,2.0,Fall 2020,utd,2
310.0,87.0,7.3,20.0,Fall 2020,utd,2
310.0,105.0,8.2,0.0,Fall 2020,utd,2
306.0,96.0,9.73,7.0,Fall 2020,utd,2
310.0,101.0,88.0,24.0,Fall 2020,utd,2
317.0,101.0,8.0,19.0,Fall 2020,utd,2
318.0,92.0,7.0,15.0,Fall 2020,utd,2
317.0,109.0,8.5,29.0,Fall 2020,utd,2
319.0,96.0,8.2,18.0,Fall 2019,utd,2
310.0,96.0,8.55,6.0,Fall 2020,utd,2
313.0,109.0,8.9,45.0,Fall 2020,utd,2
304.0,89.0,9.36,0.0,Fall 2020,utd,2
315.0,114.0,8.77,0.0,Fall 2020,utd,2
318.0,114.0,8.53,10.0,Fall 2020,utd,2
324.0,107.0,9.1,0.0,Fall 2020,utd,2
316.0,111.0,72.6,15.0,Fall 2020,utd,2
316.0,101.0,8.58,0.0,Fall 2020,utd,2
320.0,108.0,8.8,18.0,Fall 2020,utd,2
305.0,91.0,8.817,23.0,Fall 2020,utd,2
310.0,97.0,7.84,31.0,Fall 2020,utd,2
314.0,109.0,74.0,49.0,Fall 2020,utd,2
319.0,99.0,8.96,15.0,Fall 2020,utd,2
311.0,100.0,8.6,2.0,Fall 2020,utd,2
326.0,112.0,8.19,30.0,Fall 2020,utd,2
326.0,109.0,7.08,27.0,Fall 2020,utd,2
313.0,101.0,8.63,0.0,Fall 2020,utd,2
314.0,102.0,8.29,31.0,Fall 2020,utd,2
326.0,113.0,8.8,6.0,Fall 2020,utd,2
317.0,101.0,8.5,19.0,Fall 2020,utd,2
313.0,114.0,8.28,5.0,Fall 2020,utd,2
314.0,93.0,8.87,17.0,Fall 2020,utd,2
307.0,101.0,9.5,3.0,Fall 2020,utd,2
319.0,105.0,9.15,2.0,Fall 2020,utd,2
316.0,105.0,8.35,20.0,Fall 2020,utd,2
314.0,98.0,8.66,0.0,Fall 2019,utd,2
307.0,97.0,9.42,0.0,Fall 2020,utd,2
307.0,101.0,8.96,44.0,Fall 2020,utd,2
323.0,111.0,75.0,16.0,Fall 2020,utd,2
325.0,111.0,8.38,1.0,Fall 2020,utd,2
311.0,105.0,9.34,1.0,Fall 2020,utd,2
311.0,112.0,8.21,0.0,Fall 2020,utd,2
311.0,90.0,8.53,28.0,Fall 2020,utd,2
313.0,101.0,7.76,0.0,Fall 2020,utd,2
313.0,114.0,9.1,10.0,Fall 2020,utd,2
319.0,112.0,9.18,18.0,Fall 2020,utd,2
306.0,106.0,9.16,4.0,Fall 2020,utd,2
321.0,97.0,7.91,45.0,Fall 2020,utd,2
313.0,85.0,8.1,19.0,Fall 2020,utd,2
313.0,101.0,9.12,13.0,Fall 2020,utd,2
306.0,101.0,8.77,0.0,Fall 2020,utd,2
333.0,112.0,9.06,26.0,Fall 2020,utd,2
317.0,90.0,8.58,11.0,Fall 2020,utd,2
319.0,107.0,9.22,37.0,Fall 2020,utd,2
314.0,104.0,8.43,12.0,Fall 2020,utd,2
308.0,101.0,8.17,29.0,Fall 2020,utd,2
316.0,98.0,8.32,18.0,Fall 2020,utd,2
321.0,93.0,6.75,7.0,Fall 2020,utd,2
314.0,107.0,8.09,19.0,Fall 2020,utd,2
307.0,93.0,8.2,19.0,Fall 2020,utd,2
309.0,109.0,8.74,10.0,Fall 2020,utd,2
311.0,106.0,8.82,12.0,Fall 2020,utd,2
319.0,106.0,8.88,4.0,Fall 2020,utd,2
314.0,99.0,8.34,3.0,Fall 2020,utd,2
309.0,99.0,66.0,8.0,Fall 2019,utd,2
313.0,97.0,8.5,0.0,Fall 2020,utd,2
313.0,108.0,8.8,40.0,Fall 2020,utd,2
313.0,103.0,8.3,25.0,Fall 2020,utd,2
324.0,109.0,8.1,9.0,Fall 2020,utd,2
312.0,98.0,75.3,21.0,Fall 2020,utd,2
310.0,95.0,8.57,1.0,Fall 2020,utd,2
319.0,105.0,80.0,24.0,Fall 2020,utd,2
322.0,113.0,9.38,3.0,Fall 2020,utd,2
311.0,101.0,10.0,10.0,Fall 2020,utd,2
315.0,104.0,8.88,47.0,Fall 2020,utd,2
315.0,94.0,8.24,29.0,Fall 2020,utd,2
322.0,107.0,8.31,9.0,Fall 2020,utd,2
314.0,104.0,8.5,0.0,Fall 2020,utd,2
309.0,93.0,8.72,20.0,Fall 2020,utd,2
308.0,84.0,8.3,12.0,Fall 2020,utd,2
309.0,100.0,8.27,14.0,Fall 2020,utd,2
310.0,87.0,7.2,0.0,Fall 2020,utd,2
312.0,103.0,7.93,20.0,Fall 2020,utd,2
312.0,102.0,8.09,15.0,Fall 2020,utd,2
310.0,105.0,86.9,41.0,Fall 2020,utd,2
314.0,102.0,8.1,53.0,Fall 2020,utd,2
319.0,108.0,9.0,11.0,Fall 2020,utd,2
312.0,100.0,9.0,6.0,Fall 2020,utd,2
308.0,95.0,9.693999999999999,23.0,Fall 2020,utd,2
313.0,106.0,9.16,1.0,Fall 2020,utd,2
312.0,107.0,9.51,9.0,Fall 2020,utd,2
307.0,108.0,9.16,20.0,Fall 2020,utd,2
314.0,106.0,77.21,29.0,Fall 2019,utd,2
309.0,109.0,8.5,0.0,Fall 2020,utd,2
315.0,104.0,8.56,53.0,Fall 2020,utd,2
307.0,101.0,8.39,16.0,Fall 2020,utd,2
308.0,102.0,75.05,42.0,Fall 2020,utd,2
316.0,113.0,8.22,3.0,Fall 2020,utd,2
315.0,101.0,8.97,20.0,Fall 2020,utd,2
310.0,103.0,8.7,30.0,Fall 2020,utd,2
321.0,116.0,72.0,40.0,Fall 2020,utd,2
310.0,108.0,72.0,34.0,Fall 2020,utd,2
309.0,0.0,8.52,31.0,Fall 2020,utd,2
308.0,102.0,9.3,2.0,Fall 2020,utd,2
312.0,107.0,7.64,29.0,Fall 2020,utd,2
314.0,102.0,7.02,24.0,Fall 2019,utd,2
314.0,108.0,8.32,25.0,Fall 2020,utd,2
318.0,97.0,7.54,9.0,Fall 2020,utd,2
313.0,103.0,81.83,26.0,Fall 2020,utd,2
307.0,93.0,8.09,0.0,Fall 2020,utd,2
319.0,107.0,9.41,17.0,Fall 2020,utd,2
308.0,101.0,8.24,0.0,Fall 2020,utd,2
314.0,111.0,8.4,5.0,Fall 2020,utd,2
310.0,103.0,8.22,2.0,Fall 2020,utd,2
313.0,101.0,8.3,26.0,Fall 2020,utd,2
312.0,85.0,8.89,10.0,Fall 2020,utd,2
307.0,97.0,8.81,0.0,Fall 2018,utd,2
316.0,102.0,8.1,16.0,Fall 2020,utd,2
307.0,87.0,8.4,1.0,Fall 2020,utd,2
322.0,106.0,8.43,18.0,Fall 2020,utd,2
312.0,99.0,9.0,2.0,Fall 2020,utd,2
317.0,110.0,8.366,30.0,Fall 2020,utd,2
312.0,108.0,8.92,4.0,Fall 2020,utd,2
313.0,112.0,8.2,5.0,Spring 2019,utd,2
314.0,115.0,9.06,4.0,Fall 2020,utd,2
320.0,99.0,90.0,11.0,Fall 2020,utd,2
312.0,106.0,85.0,23.0,Fall 2020,utd,2
320.0,107.0,8.66,0.0,Fall 2020,utd,2
317.0,109.0,9.44,0.0,Fall 2020,utd,2
314.0,112.0,8.26,7.0,Fall 2020,utd,2
317.0,109.0,75.0,25.0,Fall 2020,utd,2
313.0,114.0,86.1,17.0,Fall 2018,utd,2
312.0,105.0,8.46,15.0,Fall 2020,utd,2
317.0,102.0,7.85,15.0,Fall 2020,utd,2
312.0,101.0,8.43,18.0,Fall 2020,utd,2
304.0,101.0,8.5,12.0,Fall 2020,utd,2
311.0,101.0,9.08,0.0,Fall 2020,utd,2
313.0,101.0,9.71,6.0,Fall 2020,utd,2
313.0,107.0,8.7,22.0,Fall 2020,utd,2
313.0,97.0,8.3,10.0,Fall 2020,utd,2
323.0,0.0,8.3,24.0,Fall 2020,utd,2
325.0,110.0,9.5,40.0,Fall 2020,utd,2
322.0,117.0,8.92,2.0,Fall 2020,utd,2
316.0,111.0,8.56,0.0,Fall 2020,utd,2
321.0,101.0,8.0,20.0,Fall 2020,utd,2
329.0,105.0,73.4,9.0,Fall 2020,utd,2
313.0,109.0,7.952000000000001,0.0,Fall 2020,utd,2
308.0,101.0,7.94,26.0,Fall 2020,utd,2
310.0,103.0,8.01778,30.0,Fall 2020,utd,2
315.0,101.0,8.11,1.0,Fall 2020,utd,2
312.0,104.0,7.92,0.0,Fall 2020,utd,2
308.0,100.0,8.12,24.0,Fall 2020,utd,2
310.0,106.0,79.0,13.0,Fall 2020,utd,2
308.0,105.0,8.36,8.0,Fall 2020,utd,2
312.0,93.0,8.14,0.0,Fall 2020,utd,2
324.0,109.0,8.82,39.0,Fall 2020,utd,2
318.0,114.0,8.56,4.0,Fall 2020,utd,2
311.0,111.0,77.67,29.0,Fall 2020,utd,2
311.0,111.0,8.48,6.0,Spring 2020,utd,2
307.0,101.0,9.8,24.0,Spring 2020,utd,2
321.0,114.0,8.9,2.0,Fall 2020,utd,2
316.0,109.0,8.15,12.0,Fall 2020,utd,2
315.0,106.0,9.01,16.0,Fall 2020,utd,2
320.0,106.0,78.0,22.0,Fall 2020,utd,2
310.0,101.0,8.6,2.0,Fall 2020,utd,2
307.0,105.0,8.12,12.0,Spring 2020,utd,2
314.0,98.0,8.6,0.0,Fall 2020,utd,2
316.0,101.0,8.2,0.0,Fall 2020,utd,2
293.0,93.0,65.0,9.0,Fall 2020,utd,2
318.0,113.0,75.0,2.0,Fall 2020,utd,2
309.0,99.0,9.21,33.0,Fall 2020,utd,2
